date,value,source,parser
2026-05-31,1844947,FADA monthly press PDF,tiered:tiered_v1
2026-07-06,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-07,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-08,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-09,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-11,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-12,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-13,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-14,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-21,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-22,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-07-23,1828458,FADA monthly press PDF,tiered:tiered_v1
2026-08-06,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-08,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-09,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-10,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-11,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-12,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-13,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-15,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-16,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-17,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-18,1818289,FADA monthly press PDF,tiered:tiered_v1
2026-08-19,1818289,FADA monthly press PDF,tiered:tiered_v1
