date,value
2021-05-31,97886.5294
2021-06-30,98287.1346
2021-07-30,98434.6939
2021-08-29,98469.6186
2021-09-28,98011.0404
2021-10-28,98590.9428
2021-11-27,98684.0932
2021-12-27,98332.1133
2022-01-26,98215.3706
2022-02-25,98571.42
2022-03-27,99106.582
2022-04-26,98586.1982
2022-05-26,99058.8922
2022-06-25,99399.5872
2022-07-25,99359.7819
2022-08-24,98913.0302
2022-09-23,98486.8501
2022-10-23,98859.5133
2022-11-22,99425.9382
2022-12-22,99124.1855
2023-01-21,98774.609
2023-02-20,99171.8782
2023-03-22,98654.3706
2023-04-21,98798.0362
2023-05-21,98770.7145
2023-06-20,99244.1597
2023-07-20,98531.1636
2023-08-19,98541.9566
2023-09-18,97837.2684
2023-10-18,97906.7237
2023-11-17,97687.305
2023-12-17,97327.5198
2024-01-16,96993.0297
2024-02-15,96932.1638
2024-03-16,96611.0919
2024-04-15,96902.5432
2024-05-15,96297.0659
2024-06-14,96464.942
2024-07-14,97037.484
2024-08-13,97300.1688
2024-09-12,96797.5895
2024-10-12,96592.1213
2024-11-11,95985.3331
2024-12-11,96552.8398
2025-01-10,96052.4073
2025-02-09,96521.4145
2025-03-11,96985.3255
2025-04-10,97093.9442
2025-05-10,96585.1505
2025-06-09,96834.9622
2025-07-09,96848.4601
2025-08-08,97192.7318
2025-09-07,97289.7636
2025-10-07,97142.4418
2025-11-06,97063.3227
2025-12-06,97773.1406
2026-01-05,97618.7494
2026-02-04,97633.2391
2026-03-06,97326.7354
2026-04-05,96925.5038
2026-05-05,96420
2026-04-30,106908
