date,value
2021-05-31,354934.6946
2021-06-30,355646.3038
2021-07-30,353428.3787
2021-08-29,352555.4627
2021-09-28,351631.2725
2021-10-28,350566.5671
2021-11-27,352218.8226
2021-12-27,351420.733
2022-01-26,351729.9236
2022-02-25,349626.1492
2022-03-27,349461.2174
2022-04-26,351321.4909
2022-05-26,349781.3699
2022-06-25,347175.665
2022-07-25,348716.8672
2022-08-24,347880.4053
2022-09-23,347136.9228
2022-10-23,347335.5987
2022-11-22,346153.7152
2022-12-22,346860.746
2023-01-21,348868.298
2023-02-20,351267.5553
2023-03-22,350177.7482
2023-04-21,348116.3809
2023-05-21,346779.7317
2023-06-20,347760.4458
2023-07-20,345414.637
2023-08-19,347525.9262
2023-09-18,345011.0181
2023-10-18,345445.9903
2023-11-17,347897.9101
2023-12-17,348082.7046
2024-01-16,347307.4407
2024-02-15,346868.3951
2024-03-16,345451.7395
2024-04-15,342973.8931
2024-05-15,344224.3381
2024-06-14,345419.1347
2024-07-14,345712.7299
2024-08-13,344008.4403
2024-09-12,345681.0915
2024-10-12,343415.2823
2024-11-11,344217.1412
2024-12-11,342482.6459
2025-01-10,343187.5076
2025-02-09,342551.0214
2025-03-11,343533.2211
2025-04-10,344677.144
2025-05-10,347054.4738
2025-06-09,345712.5173
2025-07-09,346943.317
2025-08-08,349412.307
2025-09-07,351322.857
2025-10-07,350756.1026
2025-11-06,349255.5707
2025-12-06,348306.4387
2026-01-05,347653.2993
2026-02-04,348172.3024
2026-03-06,350435.3386
2026-04-05,347855.8609
2026-05-05,348620
2026-04-30,407355
