date,value,source,parser
2021-06-11,35047.3984,backfill:yahoo ^NSEBANK,backfill
2021-06-14,34950.6016,backfill:yahoo ^NSEBANK,backfill
2021-06-15,35247.75,backfill:yahoo ^NSEBANK,backfill
2021-06-16,35003.5,backfill:yahoo ^NSEBANK,backfill
2021-06-17,34605.3984,backfill:yahoo ^NSEBANK,backfill
2021-06-18,34558,backfill:yahoo ^NSEBANK,backfill
2021-06-21,34871.3008,backfill:yahoo ^NSEBANK,backfill
2021-06-22,34745,backfill:yahoo ^NSEBANK,backfill
2021-06-23,34574,backfill:yahoo ^NSEBANK,backfill
2021-06-24,34827,backfill:yahoo ^NSEBANK,backfill
2021-06-25,35364.6484,backfill:yahoo ^NSEBANK,backfill
2021-06-28,35359.4492,backfill:yahoo ^NSEBANK,backfill
2021-06-29,35010.3008,backfill:yahoo ^NSEBANK,backfill
2021-06-30,34772.1992,backfill:yahoo ^NSEBANK,backfill
2021-07-01,34684,backfill:yahoo ^NSEBANK,backfill
2021-07-02,34809.8984,backfill:yahoo ^NSEBANK,backfill
2021-07-05,35212,backfill:yahoo ^NSEBANK,backfill
2021-07-06,35579.1484,backfill:yahoo ^NSEBANK,backfill
2021-07-07,35771.3008,backfill:yahoo ^NSEBANK,backfill
2021-07-08,35274.1016,backfill:yahoo ^NSEBANK,backfill
2021-07-09,35071.9492,backfill:yahoo ^NSEBANK,backfill
2021-07-12,35198.8984,backfill:yahoo ^NSEBANK,backfill
2021-07-13,35673.3984,backfill:yahoo ^NSEBANK,backfill
2021-07-14,35668.25,backfill:yahoo ^NSEBANK,backfill
2021-07-15,35907.6484,backfill:yahoo ^NSEBANK,backfill
2021-07-16,35751.8008,backfill:yahoo ^NSEBANK,backfill
2021-07-19,35079.1992,backfill:yahoo ^NSEBANK,backfill
2021-07-20,34415.4492,backfill:yahoo ^NSEBANK,backfill
2021-07-22,34677.3008,backfill:yahoo ^NSEBANK,backfill
2021-07-23,35034.3984,backfill:yahoo ^NSEBANK,backfill
2021-07-26,34949.6992,backfill:yahoo ^NSEBANK,backfill
2021-07-27,34797.4492,backfill:yahoo ^NSEBANK,backfill
2021-07-28,34532.8984,backfill:yahoo ^NSEBANK,backfill
2021-07-29,34691.5,backfill:yahoo ^NSEBANK,backfill
2021-07-30,34584.3516,backfill:yahoo ^NSEBANK,backfill
2021-08-02,34710,backfill:yahoo ^NSEBANK,backfill
2021-08-03,35207.4492,backfill:yahoo ^NSEBANK,backfill
2021-08-04,36028.0508,backfill:yahoo ^NSEBANK,backfill
2021-08-05,35834.75,backfill:yahoo ^NSEBANK,backfill
2021-08-06,35809.25,backfill:yahoo ^NSEBANK,backfill
2021-08-09,36028.9492,backfill:yahoo ^NSEBANK,backfill
2021-08-10,36034.1016,backfill:yahoo ^NSEBANK,backfill
2021-08-11,35806.3984,backfill:yahoo ^NSEBANK,backfill
2021-08-12,35937.0508,backfill:yahoo ^NSEBANK,backfill
2021-08-13,36169.3516,backfill:yahoo ^NSEBANK,backfill
2021-08-16,36094.5,backfill:yahoo ^NSEBANK,backfill
2021-08-17,35867.4492,backfill:yahoo ^NSEBANK,backfill
2021-08-18,35554.5,backfill:yahoo ^NSEBANK,backfill
2021-08-20,35033.8516,backfill:yahoo ^NSEBANK,backfill
2021-08-23,35124.3984,backfill:yahoo ^NSEBANK,backfill
2021-08-24,35712.1016,backfill:yahoo ^NSEBANK,backfill
2021-08-25,35586.25,backfill:yahoo ^NSEBANK,backfill
2021-08-26,35617.5508,backfill:yahoo ^NSEBANK,backfill
2021-08-27,35627.8008,backfill:yahoo ^NSEBANK,backfill
2021-08-30,36347.6484,backfill:yahoo ^NSEBANK,backfill
2021-08-31,36424.6016,backfill:yahoo ^NSEBANK,backfill
2021-09-01,36574.3008,backfill:yahoo ^NSEBANK,backfill
2021-09-02,36831.3008,backfill:yahoo ^NSEBANK,backfill
2021-09-03,36761.1484,backfill:yahoo ^NSEBANK,backfill
2021-09-06,36592.3516,backfill:yahoo ^NSEBANK,backfill
2021-09-07,36468.8008,backfill:yahoo ^NSEBANK,backfill
2021-09-08,36768.1992,backfill:yahoo ^NSEBANK,backfill
2021-09-09,36683.1992,backfill:yahoo ^NSEBANK,backfill
2021-09-13,36471.8008,backfill:yahoo ^NSEBANK,backfill
2021-09-14,36613.0508,backfill:yahoo ^NSEBANK,backfill
2021-09-15,36852.25,backfill:yahoo ^NSEBANK,backfill
2021-09-16,37668.6016,backfill:yahoo ^NSEBANK,backfill
2021-09-17,37811.9492,backfill:yahoo ^NSEBANK,backfill
2021-09-20,37145.6992,backfill:yahoo ^NSEBANK,backfill
2021-09-21,37235.8516,backfill:yahoo ^NSEBANK,backfill
2021-09-22,36944.6484,backfill:yahoo ^NSEBANK,backfill
2021-09-23,37771.6992,backfill:yahoo ^NSEBANK,backfill
2021-09-24,37830.3008,backfill:yahoo ^NSEBANK,backfill
2021-09-27,38171.25,backfill:yahoo ^NSEBANK,backfill
2021-09-28,37945,backfill:yahoo ^NSEBANK,backfill
2021-09-29,37743,backfill:yahoo ^NSEBANK,backfill
2021-09-30,37425.1016,backfill:yahoo ^NSEBANK,backfill
2021-10-01,37225.8984,backfill:yahoo ^NSEBANK,backfill
2021-10-04,37579.6484,backfill:yahoo ^NSEBANK,backfill
2021-10-05,37741,backfill:yahoo ^NSEBANK,backfill
2021-10-06,37521.5508,backfill:yahoo ^NSEBANK,backfill
2021-10-07,37753.1992,backfill:yahoo ^NSEBANK,backfill
2021-10-08,37775.25,backfill:yahoo ^NSEBANK,backfill
2021-10-11,38293.8008,backfill:yahoo ^NSEBANK,backfill
2021-10-12,38521.5,backfill:yahoo ^NSEBANK,backfill
2021-10-13,38635.75,backfill:yahoo ^NSEBANK,backfill
2021-10-14,39340.8984,backfill:yahoo ^NSEBANK,backfill
2021-10-18,39684.8008,backfill:yahoo ^NSEBANK,backfill
2021-10-19,39540.5,backfill:yahoo ^NSEBANK,backfill
2021-10-20,39518.1992,backfill:yahoo ^NSEBANK,backfill
2021-10-21,40030.1992,backfill:yahoo ^NSEBANK,backfill
2021-10-22,40323.6484,backfill:yahoo ^NSEBANK,backfill
2021-10-25,41192.3984,backfill:yahoo ^NSEBANK,backfill
2021-10-26,41238.3008,backfill:yahoo ^NSEBANK,backfill
2021-10-27,40874.3516,backfill:yahoo ^NSEBANK,backfill
2021-10-28,39508.9492,backfill:yahoo ^NSEBANK,backfill
2021-10-29,39115.6016,backfill:yahoo ^NSEBANK,backfill
2021-11-01,39763.75,backfill:yahoo ^NSEBANK,backfill
2021-11-02,39938.4492,backfill:yahoo ^NSEBANK,backfill
2021-11-03,39402.0508,backfill:yahoo ^NSEBANK,backfill
2021-11-04,39573.6992,backfill:yahoo ^NSEBANK,backfill
2021-11-08,39438.25,backfill:yahoo ^NSEBANK,backfill
2021-11-09,39368.8008,backfill:yahoo ^NSEBANK,backfill
2021-11-10,39023.25,backfill:yahoo ^NSEBANK,backfill
2021-11-11,38560.1992,backfill:yahoo ^NSEBANK,backfill
2021-11-12,38733.3516,backfill:yahoo ^NSEBANK,backfill
2021-11-15,38702.3516,backfill:yahoo ^NSEBANK,backfill
