date,value,source,parser
2026-05-12,5326,google-news-llm,tiered:tiered_v1
2026-05-13,2315,NSE JSON API,tiered:tiered_v1
2026-05-12,5326,google-news-llm,tiered:tiered_v1
2026-05-17,3150,NSE JSON API,tiered:tiered_v1
2026-05-18,3150,NSE JSON API,tiered:tiered_v1
2026-05-12,5326,google-news-llm,tiered:tiered_v1
2026-05-21,982.6,NSE JSON API,tiered:tiered_v1
2026-05-22,982.6,NSE JSON API,tiered:tiered_v1
2026-05-25,2413.1,NSE JSON API,tiered:tiered_v1
2026-05-29,665.4,NSE JSON API,tiered:tiered_v1
2026-05-08,5300,google-news-llm,tiered:tiered_v1
2026-05-29,665.4,NSE JSON API,tiered:tiered_v1
