date,value,source,parser
2026-05-05,38.5,publisher-rss,tiered:tiered_v1
2026-05-14,40.7,eaindustry-ieci,tiered:tiered_v1
2026-05-15,40.7,eaindustry-ieci,tiered:tiered_v1
2026-05-29,40.7,eaindustry-ieci,tiered:tiered_v1
2026-05-30,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-01,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-02,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-03,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-04,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-05,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-10,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-11,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-12,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-13,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-14,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-15,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-16,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-17,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-18,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-20,40.7,eaindustry-ieci,tiered:tiered_v1
2026-06-21,40.7,eaindustry-ieci,tiered:tiered_v1
