date,value
2021-05-31,3.3459
2021-06-30,3.3233
2021-07-30,3.3267
2021-08-29,3.3119
2021-09-28,3.3118
2021-10-28,3.3215
2021-11-27,3.3146
2021-12-27,3.2935
2022-01-26,3.2979
2022-02-25,3.2777
2022-03-27,3.283
2022-04-26,3.2652
2022-05-26,3.243
2022-06-25,3.2238
2022-07-25,3.2324
2022-08-24,3.2375
2022-09-23,3.2574
2022-10-23,3.273
2022-11-22,3.2893
2022-12-22,3.2731
2023-01-21,3.2636
2023-02-20,3.2691
2023-03-22,3.2792
2023-04-21,3.2889
2023-05-21,3.2683
2023-06-20,3.2547
2023-07-20,3.2735
2023-08-19,3.288
2023-09-18,3.2846
2023-10-18,3.293
2023-11-17,3.3162
2023-12-17,3.2982
2024-01-16,3.3177
2024-02-15,3.3159
2024-03-16,3.3319
2024-04-15,3.3515
2024-05-15,3.3287
2024-06-14,3.3375
2024-07-14,3.3349
2024-08-13,3.3585
2024-09-12,3.3347
2024-10-12,3.3529
2024-11-11,3.3715
2024-12-11,3.3904
2025-01-10,3.4068
2025-02-09,3.4156
2025-03-11,3.4249
2025-04-10,3.4471
2025-05-10,3.4274
2025-06-09,3.4358
2025-07-09,3.4496
2025-08-08,3.425
2025-09-07,3.4374
2025-10-07,3.4247
2025-11-06,3.4149
2025-12-06,3.3897
2026-01-05,3.406
2026-02-04,3.4056
2026-03-06,3.4215
2026-04-05,3.3972
2026-05-05,3.4
