date,value
2021-05-06,1521.1689
2021-05-07,1525.3879
2021-05-08,1533.1497
2021-05-09,1543.8179
2021-05-10,1532.0242
2021-05-11,1542.2824
2021-05-12,1545.8747
2021-05-13,1556.4475
2021-05-14,1544.9493
2021-05-15,1547.2432
2021-05-16,1538.3468
2021-05-17,1542.3342
2021-05-18,1538.7052
2021-05-19,1545.0411
2021-05-20,1548.8191
2021-05-21,1539.2343
2021-05-22,1546.0454
2021-05-23,1557.0432
2021-05-24,1561.8954
2021-05-25,1569.0954
2021-05-26,1579.7666
2021-05-27,1574.1804
2021-05-28,1575.4686
2021-05-29,1582.7921
2021-05-30,1592.1109
2021-05-31,1593.4641
2021-06-01,1599.9572
2021-06-02,1593.8541
2021-06-03,1599.1492
2021-06-04,1606.0779
2021-06-05,1601.7235
2021-06-06,1600.0561
2021-06-07,1597.0705
2021-06-08,1594.6117
2021-06-09,1583.3783
2021-06-10,1594.0758
2021-06-11,1594.5197
2021-06-12,1590.7608
2021-06-13,1600.1907
2021-06-14,1597.7092
2021-06-15,1595.8334
2021-06-16,1605.2601
2021-06-17,1614.499
2021-06-18,1616.4396
2021-06-19,1623.6321
2021-06-20,1624.3565
2021-06-21,1624.2528
2021-06-22,1634.6533
2021-06-23,1646.708
2021-06-24,1645.4678
2021-06-25,1636.1287
2021-06-26,1629.856
2021-06-27,1617.4726
2021-06-28,1622.3204
2021-06-29,1618.136
2021-06-30,1620.5192
2021-07-01,1613.6203
2021-07-02,1610.0613
2021-07-03,1602.7755
2021-07-04,1598.6406
2021-07-05,1606.3727
2021-07-06,1614.4944
2021-07-07,1622.159
2021-07-08,1629.2102
2021-07-09,1620.8358
2021-07-10,1613.4424
2021-07-11,1623.9449
2021-07-12,1611.8617
2021-07-13,1614.8745
2021-07-14,1603.5444
2021-07-15,1609.7085
2021-07-16,1619.3058
2021-07-17,1628.8228
2021-07-18,1634.3291
2021-07-19,1626.4103
2021-07-20,1634.1785
2021-07-21,1622.6437
2021-07-22,1626.1143
2021-07-23,1636.8369
2021-07-24,1646.2182
2021-07-25,1654.6358
2021-07-26,1642.7176
2021-07-27,1652.7937
2021-07-28,1648.0573
2021-07-29,1635.8089
2021-07-30,1623.5697
2021-07-31,1627.6507
2021-08-01,1626.0399
2021-08-02,1629.0861
2021-08-03,1640.1055
2021-08-04,1643.8001
2021-08-05,1639.5795
2021-08-06,1637.8904
2021-08-07,1647.1238
2021-08-08,1658.1117
2021-08-09,1661.6861
2021-08-10,1671.0337
2021-08-11,1659.4612
2021-08-12,1657.54
2021-08-13,1665.4559
2021-08-14,1657.7696
2021-08-15,1654.2386
2021-08-16,1659.1196
2021-08-17,1657.5273
2021-08-18,1659.7774
2021-08-19,1651.4575
2021-08-20,1648.0946
2021-08-21,1655.3843
2021-08-22,1662.9233
2021-08-23,1674.496
2021-08-24,1671.9994
2021-08-25,1678.3081
2021-08-26,1669.2707
2021-08-27,1670.9745
2021-08-28,1661.1838
2021-08-29,1667.0918
2021-08-30,1658.5789
2021-08-31,1654.5474
2021-09-01,1656.19
2021-09-02,1653.9558
2021-09-03,1652.3885
2021-09-04,1658.6846
2021-09-05,1663.9662
2021-09-06,1674.3913
2021-09-07,1682.4665
2021-09-08,1688.6653
2021-09-09,1685.608
2021-09-10,1682.3736
2021-09-11,1678.7916
2021-09-12,1674.9158
2021-09-13,1666.6484
2021-09-14,1668.7658
2021-09-15,1665.9436
2021-09-16,1662.6108
2021-09-17,1654.9017
2021-09-18,1661.1776
2021-09-19,1649.9683
2021-09-20,1644.5835
2021-09-21,1633.6588
2021-09-22,1624.9973
2021-09-23,1624.95
2021-09-24,1617.6863
2021-09-25,1620.0308
2021-09-26,1620.9199
2021-09-27,1628.4323
2021-09-28,1633.9235
2021-09-29,1637.2177
2021-09-30,1634.9651
2021-10-01,1626.707
2021-10-02,1636.5011
2021-10-03,1643.8076
2021-10-04,1655.7778
2021-10-05,1645.5118
2021-10-06,1636.8852
2021-10-07,1645.6381
2021-10-08,1642.5677
2021-10-09,1638.9377
2021-10-10,1637.0222
2021-10-11,1638.7226
2021-10-12,1638.8878
2021-10-13,1630.0191
2021-10-14,1625.4024
2021-10-15,1632.8606
2021-10-16,1632.0594
2021-10-17,1627.1044
2021-10-18,1615.8139
2021-10-19,1615.2992
2021-10-20,1611.1428
2021-10-21,1610.4075
2021-10-22,1619.0632
2021-10-23,1613.0044
2021-10-24,1612.1627
2021-10-25,1613.4603
2021-10-26,1606.4218
2021-10-27,1594.881
2021-10-28,1601.1527
2021-10-29,1599.3045
2021-10-30,1594.6896
2021-10-31,1596.8882
2021-11-01,1604.573
2021-11-02,1609.0614
2021-11-03,1603.3775
2021-11-04,1592.6023
2021-11-05,1592.4305
2021-11-06,1597.1541
2021-11-07,1599.8535
2021-11-08,1596.5626
2021-11-09,1595.0275
2021-11-10,1605.1981
2021-11-11,1596.8507
2021-11-12,1603.0143
2021-11-13,1597.5239
2021-11-14,1601.3785
2021-11-15,1593.4219
2021-11-16,1599.4835
2021-11-17,1604.6701
2021-11-18,1604.7953
2021-11-19,1607.489
2021-11-20,1617.2799
2021-11-21,1613.8246
2021-11-22,1617.6601
2021-11-23,1624.3922
2021-11-24,1630.4892
2021-11-25,1639.6161
2021-11-26,1629.225
2021-11-27,1631.8145
2021-11-28,1635.3547
2021-11-29,1641.9947
2021-11-30,1641.3527
2021-12-01,1648.0601
2021-12-02,1650.9344
2021-12-03,1638.5883
2021-12-04,1647.6028
2021-12-05,1658.081
2021-12-06,1646.4106
2021-12-07,1652.6395
2021-12-08,1662.1482
2021-12-09,1653.8989
2021-12-10,1656.8102
2021-12-11,1654.0388
2021-12-12,1653.2153
2021-12-13,1642.4276
2021-12-14,1640.7804
2021-12-15,1642.8408
2021-12-16,1648.1259
2021-12-17,1655.6387
2021-12-18,1667.3546
2021-12-19,1665.6834
2021-12-20,1660.6305
2021-12-21,1658.3087
2021-12-22,1668.9826
2021-12-23,1679.8208
2021-12-24,1688.865
2021-12-25,1686.1545
2021-12-26,1681.6511
2021-12-27,1694.224
2021-12-28,1694.5457
2021-12-29,1688.488
2021-12-30,1686.8755
2021-12-31,1697.3334
2022-01-01,1703.0536
2022-01-02,1708.603
2022-01-03,1711.6752
2022-01-04,1718.7293
2022-01-05,1720.9787
2022-01-06,1715.974
2022-01-07,1710.3642
2022-01-08,1713.9023
2022-01-09,1702.2719
2022-01-10,1695.2434
2022-01-11,1704.3619
2022-01-12,1716.1513
2022-01-13,1711.4031
2022-01-14,1705.6872
2022-01-15,1701.4923
2022-01-16,1709.2034
2022-01-17,1706.1898
2022-01-18,1714.2582
2022-01-19,1711.8927
2022-01-20,1706.9784
2022-01-21,1703.6788
2022-01-22,1699.168
2022-01-23,1692.1352
2022-01-24,1695.856
2022-01-25,1694.6878
2022-01-26,1693.9661
2022-01-27,1685.0806
2022-01-28,1688.2879
2022-01-29,1678.4664
2022-01-30,1676.7341
2022-01-31,1673.8374
2022-02-01,1683.6212
2022-02-02,1674.2389
2022-02-03,1665.0777
2022-02-04,1670.5654
2022-02-05,1675.6155
2022-02-06,1683.1295
2022-02-07,1694.0483
2022-02-08,1688.8015
2022-02-09,1680.0345
2022-02-10,1684.7968
2022-02-11,1694.1969
2022-02-12,1703.6239
2022-02-13,1704.3752
2022-02-14,1707.4225
2022-02-15,1711.2332
2022-02-16,1720.0688
2022-02-17,1729.0842
2022-02-18,1727.2119
2022-02-19,1719.5957
2022-02-20,1721.0906
2022-02-21,1713.3135
2022-02-22,1714.9609
2022-02-23,1702.4419
2022-02-24,1699.4559
2022-02-25,1691.7634
2022-02-26,1688.0879
2022-02-27,1694.5537
2022-02-28,1705.5692
2022-03-01,1716.2823
2022-03-02,1725.7116
2022-03-03,1726.662
2022-03-04,1729.982
2022-03-05,1720.2723
2022-03-06,1708.4033
2022-03-07,1698.5159
2022-03-08,1710.4139
2022-03-09,1722.3742
2022-03-10,1721.0819
2022-03-11,1730.5332
2022-03-12,1733.9397
2022-03-13,1733.9681
2022-03-14,1738.7177
2022-03-15,1730.5349
2022-03-16,1740.8725
2022-03-17,1730.9064
2022-03-18,1731.0645
2022-03-19,1723.3122
2022-03-20,1734.8057
2022-03-21,1723.3899
2022-03-22,1715.0045
2022-03-23,1713.0991
2022-03-24,1707.219
2022-03-25,1705.0736
2022-03-26,1715.417
2022-03-27,1704.2132
2022-03-28,1697.0803
2022-03-29,1708.1359
2022-03-30,1709.5571
2022-03-31,1714.1787
2022-04-01,1708.6066
2022-04-02,1705.349
2022-04-03,1715.5303
2022-04-04,1705.4516
2022-04-05,1702.1598
2022-04-06,1704.002
2022-04-07,1699.7193
2022-04-08,1711.8362
2022-04-09,1717.2476
2022-04-10,1717.5003
2022-04-11,1721.487
2022-04-12,1726.5862
2022-04-13,1724.4145
2022-04-14,1726.053
2022-04-15,1722.6493
2022-04-16,1721.1498
2022-04-17,1715.9957
2022-04-18,1725.4448
2022-04-19,1728.8584
2022-04-20,1717.0829
2022-04-21,1723.9919
2022-04-22,1712.8917
2022-04-23,1703.7645
2022-04-24,1715.1802
2022-04-25,1722.3042
2022-04-26,1715.6944
2022-04-27,1718.369
2022-04-28,1716.4834
2022-04-29,1705.1146
2022-04-30,1692.6432
2022-05-01,1687.839
2022-05-02,1692.1776
2022-05-03,1695.4035
2022-05-04,1691.3946
2022-05-05,1691.142
2022-05-06,1692.361
2022-05-07,1690.1879
2022-05-08,1685.272
2022-05-09,1674.1208
2022-05-10,1665.0899
2022-05-11,1668.3121
2022-05-12,1676.0028
2022-05-13,1670.0401
2022-05-14,1680.1116
2022-05-15,1670.7404
2022-05-16,1659.7625
2022-05-17,1660.7489
2022-05-18,1650.2802
2022-05-19,1649.4888
2022-05-20,1660.1636
2022-05-21,1654.238
2022-05-22,1652.5971
2022-05-23,1660.4371
2022-05-24,1657.1045
2022-05-25,1661.2772
2022-05-26,1672.6215
2022-05-27,1681.1053
2022-05-28,1689.2089
2022-05-29,1699.2953
2022-05-30,1701.9483
2022-05-31,1699.6676
2022-06-01,1696.9257
2022-06-02,1707.2343
2022-06-03,1710.8522
2022-06-04,1722.1784
2022-06-05,1721.6377
2022-06-06,1718.208
2022-06-07,1718.5384
2022-06-08,1716.455
2022-06-09,1726.0731
2022-06-10,1721.1124
2022-06-11,1710.2307
2022-06-12,1699.3506
2022-06-13,1707.2808
2022-06-14,1699.2439
2022-06-15,1697.5346
2022-06-16,1693.0318
2022-06-17,1703.9135
2022-06-18,1704.9692
2022-06-19,1717.5201
2022-06-20,1720.3678
2022-06-21,1714.5944
2022-06-22,1714.0647
2022-06-23,1707.7671
2022-06-24,1705.6076
2022-06-25,1718.4074
2022-06-26,1716.3259
2022-06-27,1709.9161
2022-06-28,1707.8258
2022-06-29,1708.0154
2022-06-30,1700.0131
2022-07-01,1694.3452
2022-07-02,1697.9177
2022-07-03,1695.6842
2022-07-04,1695.0285
2022-07-05,1689.3047
2022-07-06,1694.6806
2022-07-07,1696.1763
2022-07-08,1686.4456
2022-07-09,1697.5841
2022-07-10,1688.9178
2022-07-11,1680.6039
2022-07-12,1672.0847
2022-07-13,1669.0386
2022-07-14,1674.6259
2022-07-15,1680.2092
2022-07-16,1673.0784
2022-07-17,1672.9387
2022-07-18,1668.4395
2022-07-19,1678.7316
2022-07-20,1677.4714
2022-07-21,1677.2456
2022-07-22,1680.8221
2022-07-23,1680.9878
2022-07-24,1673.8162
2022-07-25,1672.9322
2022-07-26,1676.6171
2022-07-27,1684.3451
2022-07-28,1681.6108
2022-07-29,1686.6849
2022-07-30,1683.3379
2022-07-31,1674.8802
2022-08-01,1674.4538
2022-08-02,1684.272
2022-08-03,1689.5943
2022-08-04,1684.6518
2022-08-05,1688.576
2022-08-06,1690.7994
2022-08-07,1692.9074
2022-08-08,1689.3827
2022-08-09,1691.562
2022-08-10,1688.8388
2022-08-11,1700.7226
2022-08-12,1701.9756
2022-08-13,1692.9606
2022-08-14,1701.0172
2022-08-15,1690.7652
2022-08-16,1683.5306
2022-08-17,1676.7106
2022-08-18,1666.1934
2022-08-19,1657.1448
2022-08-20,1665.8621
2022-08-21,1673.342
2022-08-22,1671.1693
2022-08-23,1682.7938
2022-08-24,1680.5197
2022-08-25,1683.6685
2022-08-26,1677.7625
2022-08-27,1673.0744
2022-08-28,1670.1441
2022-08-29,1657.6555
2022-08-30,1666.0751
2022-08-31,1657.011
2022-09-01,1652.6245
2022-09-02,1652.798
2022-09-03,1642.302
2022-09-04,1648.0221
2022-09-05,1639.9516
2022-09-06,1631.044
2022-09-07,1642.2133
2022-09-08,1653.0121
2022-09-09,1656.6392
2022-09-10,1662.6422
2022-09-11,1670.4128
2022-09-12,1681.2022
2022-09-13,1671.8857
2022-09-14,1667.2633
2022-09-15,1657.3371
2022-09-16,1667.5786
2022-09-17,1668.979
2022-09-18,1667.2675
2022-09-19,1665.3806
2022-09-20,1672.1394
2022-09-21,1683.1467
2022-09-22,1693.1603
2022-09-23,1689.9139
2022-09-24,1695.7644
2022-09-25,1706.7133
2022-09-26,1706.7739
2022-09-27,1707.9763
2022-09-28,1697.5161
2022-09-29,1688.887
2022-09-30,1684.553
2022-10-01,1675.2849
2022-10-02,1664.6656
