date,value,source,parser
2026-05-12,7990.32,NSE,tiered:tiered_v1
2026-05-13,5869.05,NSE,tiered:tiered_v1
2026-05-14,5869.05,NSE,tiered:tiered_v1
2026-05-15,684.33,NSE,tiered:tiered_v1
2026-05-18,2682.12,NSE,tiered:tiered_v1
2026-05-19,3801.68,NSE,tiered:tiered_v1
2026-05-20,1968.35,NSE,tiered:tiered_v1
2026-05-21,2492.42,NSE,tiered:tiered_v1
2026-05-22,6003.53,NSE,tiered:tiered_v1
2026-05-25,3856.88,NSE,tiered:tiered_v1
2026-05-29,3821,NSE,tiered:tiered_v1
2026-06-01,5109.13,NSE,tiered:tiered_v1
2026-06-02,9589.32,NSE,tiered:tiered_v1
2026-06-03,5740.89,NSE,tiered:tiered_v1
2026-06-04,4360.14,NSE,tiered:tiered_v1
2026-06-05,9133.57,NSE,tiered:tiered_v1
2026-06-08,5165.24,NSE,tiered:tiered_v1
2026-06-09,6159.48,NSE,tiered:tiered_v1
2026-06-11,4224.51,NSE,tiered:tiered_v1
2026-06-12,5341.29,NSE,tiered:tiered_v1
2026-06-15,3189.26,NSE,tiered:tiered_v1
2026-06-16,0.06,NSE,tiered:tiered_v1
2026-06-17,1561.4,NSE,tiered:tiered_v1
2026-06-18,3516.81,NSE,tiered:tiered_v1
2026-06-19,-1159.64,NSE,tiered:tiered_v1
2026-06-20,-1159.64,NSE,tiered:tiered_v1
2026-06-21,-1159.64,NSE,tiered:tiered_v1
2026-06-22,-1159.64,NSE,tiered:tiered_v1
2026-06-23,1035.72,NSE,tiered:tiered_v1
2026-06-24,680.21,NSE,tiered:tiered_v1
2026-06-25,3637.26,NSE,tiered:tiered_v1
2026-06-26,5747.75,NSE,tiered:tiered_v1
2026-06-27,5747.75,NSE,tiered:tiered_v1
2026-06-28,5747.75,NSE,tiered:tiered_v1
2026-06-29,5747.75,NSE,tiered:tiered_v1
2026-06-30,2801.45,NSE,tiered:tiered_v1
2026-07-01,6842.34,NSE,tiered:tiered_v1
2026-07-02,3159.24,NSE,tiered:tiered_v1
2026-07-03,-1953.89,NSE,tiered:tiered_v1
2026-07-04,-1953.89,NSE,tiered:tiered_v1
2026-07-05,-1953.89,NSE,tiered:tiered_v1
2026-07-06,-1953.89,NSE,tiered:tiered_v1
2026-07-07,3791.42,NSE,tiered:tiered_v1
2026-07-08,-383.43,NSE,tiered:tiered_v1
2026-07-09,790.16,NSE,tiered:tiered_v1
2026-07-10,2019.68,NSE,tiered:tiered_v1
2026-07-11,2019.68,NSE,tiered:tiered_v1
2026-07-12,2019.68,NSE,tiered:tiered_v1
2026-07-13,2019.68,NSE,tiered:tiered_v1
2026-07-14,2171.7,NSE,tiered:tiered_v1
2026-07-15,704.93,NSE,tiered:tiered_v1
2026-07-16,2986.41,NSE,tiered:tiered_v1
2026-07-17,1017.89,NSE,tiered:tiered_v1
2026-07-20,1312.03,NSE,tiered:tiered_v1
2026-07-21,1312.03,NSE,tiered:tiered_v1
2026-07-22,-656.88,NSE,tiered:tiered_v1
2026-07-23,-418.26,NSE,tiered:tiered_v1
2026-07-24,5453.55,NSE,tiered:tiered_v1
2026-07-25,5453.55,NSE,tiered:tiered_v1
2026-07-26,5453.55,NSE,tiered:tiered_v1
2026-07-27,2329.14,NSE,tiered:tiered_v1
2026-07-28,2329.14,NSE,tiered:tiered_v1
2026-07-29,1664.16,NSE,tiered:tiered_v1
2026-07-30,998.02,NSE,tiered:tiered_v1
2026-07-31,2260.37,NSE,tiered:tiered_v1
2026-08-01,2260.37,NSE,tiered:tiered_v1
2026-08-02,2260.37,NSE,tiered:tiered_v1
2026-08-03,2260.37,NSE,tiered:tiered_v1
2026-08-04,1571.18,NSE,tiered:tiered_v1
2026-08-05,-936.14,NSE,tiered:tiered_v1
2026-08-06,2883.17,NSE,tiered:tiered_v1
2026-08-07,4013.6,NSE,tiered:tiered_v1
2026-08-08,235.56,NSE,tiered:tiered_v1
2026-08-09,235.56,NSE,tiered:tiered_v1
2026-08-10,235.56,NSE,tiered:tiered_v1
2026-08-11,-1290.29,NSE,tiered:tiered_v1
2026-08-12,24.77,NSE,tiered:tiered_v1
