date,value,source,parser
2026-05-11,2286,google-news-llm,tiered:tiered_v1
2026-05-21,2279,Drewry weekly WCI,tiered:tiered_v1
2026-05-28,2800,Drewry weekly WCI,tiered:tiered_v1
2026-06-05,3433,google-news-llm,tiered:tiered_v1
2026-05-29,3549,Drewry weekly WCI,tiered:tiered_v1
2026-06-09,3433,google-news-llm,tiered:tiered_v1
2026-06-12,3549,google-news-llm,tiered:tiered_v1
2026-06-19,3969,google-news-llm,tiered:tiered_v1
2026-06-12,3433,google-news-llm,tiered:tiered_v1
2026-06-26,4166,google-news-llm,tiered:tiered_v1
2026-06-29,4166,google-news-llm,tiered:tiered_v1
