date,value,source,parser
2021-06-11,90.56,backfill:yahoo DX-Y.NYB,backfill
2021-06-14,90.52,backfill:yahoo DX-Y.NYB,backfill
2021-06-15,90.54,backfill:yahoo DX-Y.NYB,backfill
2021-06-16,91.13,backfill:yahoo DX-Y.NYB,backfill
2021-06-17,91.89,backfill:yahoo DX-Y.NYB,backfill
2021-06-18,92.23,backfill:yahoo DX-Y.NYB,backfill
2021-06-21,91.86,backfill:yahoo DX-Y.NYB,backfill
2021-06-22,91.73,backfill:yahoo DX-Y.NYB,backfill
2021-06-23,91.8,backfill:yahoo DX-Y.NYB,backfill
2021-06-24,91.82,backfill:yahoo DX-Y.NYB,backfill
2021-06-25,91.81,backfill:yahoo DX-Y.NYB,backfill
2021-06-28,91.88,backfill:yahoo DX-Y.NYB,backfill
2021-06-29,92.05,backfill:yahoo DX-Y.NYB,backfill
2021-06-30,92.44,backfill:yahoo DX-Y.NYB,backfill
2021-07-01,92.6,backfill:yahoo DX-Y.NYB,backfill
2021-07-02,92.23,backfill:yahoo DX-Y.NYB,backfill
2021-07-06,92.55,backfill:yahoo DX-Y.NYB,backfill
2021-07-07,92.64,backfill:yahoo DX-Y.NYB,backfill
2021-07-08,92.36,backfill:yahoo DX-Y.NYB,backfill
2021-07-09,92.13,backfill:yahoo DX-Y.NYB,backfill
2021-07-12,92.23,backfill:yahoo DX-Y.NYB,backfill
2021-07-13,92.75,backfill:yahoo DX-Y.NYB,backfill
2021-07-14,92.41,backfill:yahoo DX-Y.NYB,backfill
2021-07-15,92.62,backfill:yahoo DX-Y.NYB,backfill
2021-07-16,92.69,backfill:yahoo DX-Y.NYB,backfill
2021-07-19,92.89,backfill:yahoo DX-Y.NYB,backfill
2021-07-20,92.97,backfill:yahoo DX-Y.NYB,backfill
2021-07-21,92.75,backfill:yahoo DX-Y.NYB,backfill
2021-07-22,92.82,backfill:yahoo DX-Y.NYB,backfill
2021-07-23,92.91,backfill:yahoo DX-Y.NYB,backfill
2021-07-26,92.65,backfill:yahoo DX-Y.NYB,backfill
2021-07-27,92.43,backfill:yahoo DX-Y.NYB,backfill
2021-07-28,92.32,backfill:yahoo DX-Y.NYB,backfill
2021-07-29,91.86,backfill:yahoo DX-Y.NYB,backfill
2021-07-30,92.17,backfill:yahoo DX-Y.NYB,backfill
2021-08-02,92.05,backfill:yahoo DX-Y.NYB,backfill
2021-08-03,92.08,backfill:yahoo DX-Y.NYB,backfill
2021-08-04,92.27,backfill:yahoo DX-Y.NYB,backfill
2021-08-05,92.24,backfill:yahoo DX-Y.NYB,backfill
2021-08-06,92.8,backfill:yahoo DX-Y.NYB,backfill
2021-08-09,92.95,backfill:yahoo DX-Y.NYB,backfill
2021-08-10,93.06,backfill:yahoo DX-Y.NYB,backfill
2021-08-11,92.91,backfill:yahoo DX-Y.NYB,backfill
2021-08-12,93.04,backfill:yahoo DX-Y.NYB,backfill
2021-08-13,92.52,backfill:yahoo DX-Y.NYB,backfill
2021-08-16,92.63,backfill:yahoo DX-Y.NYB,backfill
2021-08-17,93.13,backfill:yahoo DX-Y.NYB,backfill
2021-08-18,93.14,backfill:yahoo DX-Y.NYB,backfill
2021-08-19,93.57,backfill:yahoo DX-Y.NYB,backfill
2021-08-20,93.5,backfill:yahoo DX-Y.NYB,backfill
2021-08-23,92.96,backfill:yahoo DX-Y.NYB,backfill
2021-08-24,92.89,backfill:yahoo DX-Y.NYB,backfill
2021-08-25,92.83,backfill:yahoo DX-Y.NYB,backfill
2021-08-26,93.06,backfill:yahoo DX-Y.NYB,backfill
2021-08-27,92.69,backfill:yahoo DX-Y.NYB,backfill
2021-08-30,92.65,backfill:yahoo DX-Y.NYB,backfill
2021-08-31,92.63,backfill:yahoo DX-Y.NYB,backfill
2021-09-01,92.45,backfill:yahoo DX-Y.NYB,backfill
2021-09-02,92.23,backfill:yahoo DX-Y.NYB,backfill
2021-09-03,92.04,backfill:yahoo DX-Y.NYB,backfill
2021-09-07,92.52,backfill:yahoo DX-Y.NYB,backfill
2021-09-08,92.65,backfill:yahoo DX-Y.NYB,backfill
2021-09-09,92.48,backfill:yahoo DX-Y.NYB,backfill
2021-09-10,92.58,backfill:yahoo DX-Y.NYB,backfill
2021-09-13,92.62,backfill:yahoo DX-Y.NYB,backfill
2021-09-14,92.65,backfill:yahoo DX-Y.NYB,backfill
2021-09-15,92.49,backfill:yahoo DX-Y.NYB,backfill
2021-09-16,92.86,backfill:yahoo DX-Y.NYB,backfill
2021-09-17,93.2,backfill:yahoo DX-Y.NYB,backfill
2021-09-20,93.24,backfill:yahoo DX-Y.NYB,backfill
2021-09-21,93.2,backfill:yahoo DX-Y.NYB,backfill
2021-09-22,93.46,backfill:yahoo DX-Y.NYB,backfill
2021-09-23,93.1,backfill:yahoo DX-Y.NYB,backfill
2021-09-24,93.33,backfill:yahoo DX-Y.NYB,backfill
2021-09-27,93.38,backfill:yahoo DX-Y.NYB,backfill
2021-09-28,93.77,backfill:yahoo DX-Y.NYB,backfill
2021-09-29,94.34,backfill:yahoo DX-Y.NYB,backfill
2021-09-30,94.25,backfill:yahoo DX-Y.NYB,backfill
2021-10-01,94.04,backfill:yahoo DX-Y.NYB,backfill
2021-10-04,93.81,backfill:yahoo DX-Y.NYB,backfill
2021-10-05,93.98,backfill:yahoo DX-Y.NYB,backfill
2021-10-06,94.27,backfill:yahoo DX-Y.NYB,backfill
2021-10-07,94.22,backfill:yahoo DX-Y.NYB,backfill
2021-10-08,94.07,backfill:yahoo DX-Y.NYB,backfill
2021-10-11,94.32,backfill:yahoo DX-Y.NYB,backfill
2021-10-12,94.52,backfill:yahoo DX-Y.NYB,backfill
2021-10-13,94.08,backfill:yahoo DX-Y.NYB,backfill
2021-10-14,93.96,backfill:yahoo DX-Y.NYB,backfill
2021-10-15,93.94,backfill:yahoo DX-Y.NYB,backfill
2021-10-18,93.95,backfill:yahoo DX-Y.NYB,backfill
2021-10-19,93.79,backfill:yahoo DX-Y.NYB,backfill
2021-10-20,93.56,backfill:yahoo DX-Y.NYB,backfill
2021-10-21,93.77,backfill:yahoo DX-Y.NYB,backfill
2021-10-22,93.61,backfill:yahoo DX-Y.NYB,backfill
2021-10-25,93.81,backfill:yahoo DX-Y.NYB,backfill
2021-10-26,93.95,backfill:yahoo DX-Y.NYB,backfill
2021-10-27,93.86,backfill:yahoo DX-Y.NYB,backfill
2021-10-28,93.35,backfill:yahoo DX-Y.NYB,backfill
2021-10-29,94.12,backfill:yahoo DX-Y.NYB,backfill
2021-11-01,93.88,backfill:yahoo DX-Y.NYB,backfill
2021-11-02,94.09,backfill:yahoo DX-Y.NYB,backfill
2021-11-03,93.86,backfill:yahoo DX-Y.NYB,backfill
2021-11-04,94.35,backfill:yahoo DX-Y.NYB,backfill
2021-11-05,94.32,backfill:yahoo DX-Y.NYB,backfill
2021-11-08,94.05,backfill:yahoo DX-Y.NYB,backfill
2021-11-09,93.96,backfill:yahoo DX-Y.NYB,backfill
2021-11-10,94.85,backfill:yahoo DX-Y.NYB,backfill
2021-11-11,95.18,backfill:yahoo DX-Y.NYB,backfill
2021-11-12,95.13,backfill:yahoo DX-Y.NYB,backfill
2021-11-15,95.41,backfill:yahoo DX-Y.NYB,backfill
2021-11-16,95.92,backfill:yahoo DX-Y.NYB,backfill
2021-11-17,95.83,backfill:yahoo DX-Y.NYB,backfill
2021-11-18,95.54,backfill:yahoo DX-Y.NYB,backfill
2021-11-19,96.07,backfill:yahoo DX-Y.NYB,backfill
2021-11-22,96.5,backfill:yahoo DX-Y.NYB,backfill
2021-11-23,96.49,backfill:yahoo DX-Y.NYB,backfill
2021-11-24,96.84,backfill:yahoo DX-Y.NYB,backfill
2021-11-26,96.09,backfill:yahoo DX-Y.NYB,backfill
2021-11-29,96.34,backfill:yahoo DX-Y.NYB,backfill
2021-11-30,95.99,backfill:yahoo DX-Y.NYB,backfill
2021-12-01,96.05,backfill:yahoo DX-Y.NYB,backfill
2021-12-02,96.13,backfill:yahoo DX-Y.NYB,backfill
2021-12-03,96.12,backfill:yahoo DX-Y.NYB,backfill
2021-12-06,96.29,backfill:yahoo DX-Y.NYB,backfill
2021-12-07,96.37,backfill:yahoo DX-Y.NYB,backfill
2021-12-08,95.89,backfill:yahoo DX-Y.NYB,backfill
2021-12-09,96.27,backfill:yahoo DX-Y.NYB,backfill
2021-12-10,96.05,backfill:yahoo DX-Y.NYB,backfill
2021-12-13,96.32,backfill:yahoo DX-Y.NYB,backfill
2021-12-14,96.57,backfill:yahoo DX-Y.NYB,backfill
2021-12-15,96.51,backfill:yahoo DX-Y.NYB,backfill
2021-12-16,96.04,backfill:yahoo DX-Y.NYB,backfill
2021-12-17,96.57,backfill:yahoo DX-Y.NYB,backfill
2021-12-20,96.55,backfill:yahoo DX-Y.NYB,backfill
2021-12-21,96.49,backfill:yahoo DX-Y.NYB,backfill
2021-12-22,96.08,backfill:yahoo DX-Y.NYB,backfill
2021-12-23,96.02,backfill:yahoo DX-Y.NYB,backfill
2021-12-27,96.09,backfill:yahoo DX-Y.NYB,backfill
2021-12-28,96.2,backfill:yahoo DX-Y.NYB,backfill
2021-12-29,95.93,backfill:yahoo DX-Y.NYB,backfill
2021-12-30,95.97,backfill:yahoo DX-Y.NYB,backfill
2021-12-31,95.67,backfill:yahoo DX-Y.NYB,backfill
2022-01-03,96.24,backfill:yahoo DX-Y.NYB,backfill
2022-01-04,96.29,backfill:yahoo DX-Y.NYB,backfill
2022-01-05,96.19,backfill:yahoo DX-Y.NYB,backfill
2022-01-06,96.25,backfill:yahoo DX-Y.NYB,backfill
2022-01-07,95.74,backfill:yahoo DX-Y.NYB,backfill
2022-01-10,95.99,backfill:yahoo DX-Y.NYB,backfill
2022-01-11,95.62,backfill:yahoo DX-Y.NYB,backfill
2022-01-12,95,backfill:yahoo DX-Y.NYB,backfill
2022-01-13,94.79,backfill:yahoo DX-Y.NYB,backfill
2022-01-14,95.17,backfill:yahoo DX-Y.NYB,backfill
2022-01-18,95.73,backfill:yahoo DX-Y.NYB,backfill
2022-01-19,95.51,backfill:yahoo DX-Y.NYB,backfill
2022-01-20,95.74,backfill:yahoo DX-Y.NYB,backfill
2022-01-21,95.64,backfill:yahoo DX-Y.NYB,backfill
2022-01-24,95.92,backfill:yahoo DX-Y.NYB,backfill
2022-01-25,95.95,backfill:yahoo DX-Y.NYB,backfill
2022-01-26,96.49,backfill:yahoo DX-Y.NYB,backfill
2022-01-27,97.26,backfill:yahoo DX-Y.NYB,backfill
2022-01-28,97.27,backfill:yahoo DX-Y.NYB,backfill
2022-01-31,96.54,backfill:yahoo DX-Y.NYB,backfill
2022-02-01,96.39,backfill:yahoo DX-Y.NYB,backfill
2022-02-02,95.94,backfill:yahoo DX-Y.NYB,backfill
2022-02-03,95.38,backfill:yahoo DX-Y.NYB,backfill
2022-02-04,95.48,backfill:yahoo DX-Y.NYB,backfill
2022-02-07,95.4,backfill:yahoo DX-Y.NYB,backfill
2022-02-08,95.64,backfill:yahoo DX-Y.NYB,backfill
2022-02-09,95.49,backfill:yahoo DX-Y.NYB,backfill
2022-02-10,95.55,backfill:yahoo DX-Y.NYB,backfill
2022-02-11,96.08,backfill:yahoo DX-Y.NYB,backfill
2022-02-14,96.37,backfill:yahoo DX-Y.NYB,backfill
2022-02-15,95.99,backfill:yahoo DX-Y.NYB,backfill
2022-02-16,95.7,backfill:yahoo DX-Y.NYB,backfill
2022-02-17,95.8,backfill:yahoo DX-Y.NYB,backfill
2022-02-18,96.04,backfill:yahoo DX-Y.NYB,backfill
2022-02-22,96.03,backfill:yahoo DX-Y.NYB,backfill
2022-02-23,96.19,backfill:yahoo DX-Y.NYB,backfill
2022-02-24,97.14,backfill:yahoo DX-Y.NYB,backfill
2022-02-25,96.62,backfill:yahoo DX-Y.NYB,backfill
2022-02-28,96.71,backfill:yahoo DX-Y.NYB,backfill
2022-03-01,97.41,backfill:yahoo DX-Y.NYB,backfill
2022-03-02,97.39,backfill:yahoo DX-Y.NYB,backfill
2022-03-03,97.79,backfill:yahoo DX-Y.NYB,backfill
2022-03-04,98.65,backfill:yahoo DX-Y.NYB,backfill
2022-03-07,99.29,backfill:yahoo DX-Y.NYB,backfill
2022-03-08,99.06,backfill:yahoo DX-Y.NYB,backfill
2022-03-09,97.97,backfill:yahoo DX-Y.NYB,backfill
2022-03-10,98.51,backfill:yahoo DX-Y.NYB,backfill
2022-03-11,99.12,backfill:yahoo DX-Y.NYB,backfill
2022-03-14,99.06,backfill:yahoo DX-Y.NYB,backfill
2022-03-15,99.07,backfill:yahoo DX-Y.NYB,backfill
2022-03-16,98.38,backfill:yahoo DX-Y.NYB,backfill
2022-03-17,98.01,backfill:yahoo DX-Y.NYB,backfill
2022-03-18,98.23,backfill:yahoo DX-Y.NYB,backfill
2022-03-21,98.5,backfill:yahoo DX-Y.NYB,backfill
2022-03-22,98.49,backfill:yahoo DX-Y.NYB,backfill
2022-03-23,98.62,backfill:yahoo DX-Y.NYB,backfill
2022-03-24,98.79,backfill:yahoo DX-Y.NYB,backfill
2022-03-25,98.81,backfill:yahoo DX-Y.NYB,backfill
2022-03-28,99.09,backfill:yahoo DX-Y.NYB,backfill
2022-03-29,98.4,backfill:yahoo DX-Y.NYB,backfill
2022-03-30,97.79,backfill:yahoo DX-Y.NYB,backfill
2022-03-31,98.31,backfill:yahoo DX-Y.NYB,backfill
2022-04-01,98.63,backfill:yahoo DX-Y.NYB,backfill
2022-04-04,98.99,backfill:yahoo DX-Y.NYB,backfill
2022-04-05,99.47,backfill:yahoo DX-Y.NYB,backfill
2022-04-06,99.6,backfill:yahoo DX-Y.NYB,backfill
2022-04-07,99.75,backfill:yahoo DX-Y.NYB,backfill
2022-04-08,99.8,backfill:yahoo DX-Y.NYB,backfill
2022-04-11,99.93,backfill:yahoo DX-Y.NYB,backfill
2022-04-12,100.29,backfill:yahoo DX-Y.NYB,backfill
2022-04-13,99.88,backfill:yahoo DX-Y.NYB,backfill
2022-04-14,100.32,backfill:yahoo DX-Y.NYB,backfill
2022-04-18,100.78,backfill:yahoo DX-Y.NYB,backfill
2022-04-19,100.96,backfill:yahoo DX-Y.NYB,backfill
2022-04-20,100.39,backfill:yahoo DX-Y.NYB,backfill
2022-04-21,100.58,backfill:yahoo DX-Y.NYB,backfill
2022-04-22,101.22,backfill:yahoo DX-Y.NYB,backfill
2022-04-25,101.75,backfill:yahoo DX-Y.NYB,backfill
2022-04-26,102.3,backfill:yahoo DX-Y.NYB,backfill
2022-04-27,102.95,backfill:yahoo DX-Y.NYB,backfill
2022-04-28,103.62,backfill:yahoo DX-Y.NYB,backfill
2022-04-29,102.96,backfill:yahoo DX-Y.NYB,backfill
2022-05-02,103.74,backfill:yahoo DX-Y.NYB,backfill
2022-05-03,103.47,backfill:yahoo DX-Y.NYB,backfill
2022-05-04,102.59,backfill:yahoo DX-Y.NYB,backfill
2022-05-05,103.75,backfill:yahoo DX-Y.NYB,backfill
2022-05-06,103.66,backfill:yahoo DX-Y.NYB,backfill
2022-05-09,103.65,backfill:yahoo DX-Y.NYB,backfill
2022-05-10,103.92,backfill:yahoo DX-Y.NYB,backfill
2022-05-11,103.85,backfill:yahoo DX-Y.NYB,backfill
2022-05-12,104.85,backfill:yahoo DX-Y.NYB,backfill
2022-05-13,104.56,backfill:yahoo DX-Y.NYB,backfill
2022-05-16,104.19,backfill:yahoo DX-Y.NYB,backfill
2022-05-17,103.36,backfill:yahoo DX-Y.NYB,backfill
2022-05-18,103.81,backfill:yahoo DX-Y.NYB,backfill
2022-05-19,102.72,backfill:yahoo DX-Y.NYB,backfill
2022-05-20,103.15,backfill:yahoo DX-Y.NYB,backfill
2022-05-23,102.08,backfill:yahoo DX-Y.NYB,backfill
2022-05-24,101.86,backfill:yahoo DX-Y.NYB,backfill
2022-05-25,102.06,backfill:yahoo DX-Y.NYB,backfill
2022-05-26,101.83,backfill:yahoo DX-Y.NYB,backfill
2022-05-27,101.67,backfill:yahoo DX-Y.NYB,backfill
2022-05-31,101.75,backfill:yahoo DX-Y.NYB,backfill
2022-06-01,102.55,backfill:yahoo DX-Y.NYB,backfill
2022-06-02,101.77,backfill:yahoo DX-Y.NYB,backfill
2022-06-03,102.14,backfill:yahoo DX-Y.NYB,backfill
2022-06-06,102.44,backfill:yahoo DX-Y.NYB,backfill
2022-06-07,102.32,backfill:yahoo DX-Y.NYB,backfill
2022-06-08,102.54,backfill:yahoo DX-Y.NYB,backfill
2022-06-09,103.22,backfill:yahoo DX-Y.NYB,backfill
2022-06-10,104.15,backfill:yahoo DX-Y.NYB,backfill
2022-06-13,105.08,backfill:yahoo DX-Y.NYB,backfill
2022-06-14,105.52,backfill:yahoo DX-Y.NYB,backfill
2022-06-15,105.16,backfill:yahoo DX-Y.NYB,backfill
2022-06-16,103.63,backfill:yahoo DX-Y.NYB,backfill
2022-06-17,104.7,backfill:yahoo DX-Y.NYB,backfill
2022-06-21,104.44,backfill:yahoo DX-Y.NYB,backfill
2022-06-22,104.2,backfill:yahoo DX-Y.NYB,backfill
2022-06-23,104.43,backfill:yahoo DX-Y.NYB,backfill
2022-06-24,104.19,backfill:yahoo DX-Y.NYB,backfill
2022-06-27,103.94,backfill:yahoo DX-Y.NYB,backfill
2022-06-28,104.51,backfill:yahoo DX-Y.NYB,backfill
2022-06-29,105.11,backfill:yahoo DX-Y.NYB,backfill
2022-06-30,104.69,backfill:yahoo DX-Y.NYB,backfill
2022-07-01,105.14,backfill:yahoo DX-Y.NYB,backfill
2022-07-05,106.5,backfill:yahoo DX-Y.NYB,backfill
2022-07-06,107.1,backfill:yahoo DX-Y.NYB,backfill
2022-07-07,107.13,backfill:yahoo DX-Y.NYB,backfill
2022-07-08,107.01,backfill:yahoo DX-Y.NYB,backfill
2022-07-11,108.02,backfill:yahoo DX-Y.NYB,backfill
2022-07-12,108.07,backfill:yahoo DX-Y.NYB,backfill
2022-07-13,107.96,backfill:yahoo DX-Y.NYB,backfill
2022-07-14,108.54,backfill:yahoo DX-Y.NYB,backfill
2022-07-15,108.06,backfill:yahoo DX-Y.NYB,backfill
2022-07-18,107.37,backfill:yahoo DX-Y.NYB,backfill
2022-07-19,106.68,backfill:yahoo DX-Y.NYB,backfill
2022-07-20,107.08,backfill:yahoo DX-Y.NYB,backfill
2022-07-21,106.91,backfill:yahoo DX-Y.NYB,backfill
2022-07-22,106.73,backfill:yahoo DX-Y.NYB,backfill
2022-07-25,106.48,backfill:yahoo DX-Y.NYB,backfill
2022-07-26,107.19,backfill:yahoo DX-Y.NYB,backfill
2022-07-27,106.45,backfill:yahoo DX-Y.NYB,backfill
2022-07-28,106.35,backfill:yahoo DX-Y.NYB,backfill
2022-07-29,105.9,backfill:yahoo DX-Y.NYB,backfill
2022-08-01,105.45,backfill:yahoo DX-Y.NYB,backfill
2022-08-02,106.24,backfill:yahoo DX-Y.NYB,backfill
2022-08-03,106.51,backfill:yahoo DX-Y.NYB,backfill
2022-08-04,105.69,backfill:yahoo DX-Y.NYB,backfill
2022-08-05,106.62,backfill:yahoo DX-Y.NYB,backfill
2022-08-08,106.44,backfill:yahoo DX-Y.NYB,backfill
2022-08-09,106.37,backfill:yahoo DX-Y.NYB,backfill
2022-08-10,105.2,backfill:yahoo DX-Y.NYB,backfill
2022-08-11,105.09,backfill:yahoo DX-Y.NYB,backfill
2022-08-12,105.63,backfill:yahoo DX-Y.NYB,backfill
2022-08-15,106.55,backfill:yahoo DX-Y.NYB,backfill
2022-08-16,106.5,backfill:yahoo DX-Y.NYB,backfill
2022-08-17,106.57,backfill:yahoo DX-Y.NYB,backfill
2022-08-18,107.48,backfill:yahoo DX-Y.NYB,backfill
2022-08-19,108.17,backfill:yahoo DX-Y.NYB,backfill
2022-08-22,109.05,backfill:yahoo DX-Y.NYB,backfill
2022-08-23,108.62,backfill:yahoo DX-Y.NYB,backfill
2022-08-24,108.68,backfill:yahoo DX-Y.NYB,backfill
2022-08-25,108.47,backfill:yahoo DX-Y.NYB,backfill
2022-08-26,108.8,backfill:yahoo DX-Y.NYB,backfill
2022-08-29,108.84,backfill:yahoo DX-Y.NYB,backfill
2022-08-30,108.77,backfill:yahoo DX-Y.NYB,backfill
2022-08-31,108.7,backfill:yahoo DX-Y.NYB,backfill
2022-09-01,109.69,backfill:yahoo DX-Y.NYB,backfill
2022-09-02,109.53,backfill:yahoo DX-Y.NYB,backfill
2022-09-06,110.21,backfill:yahoo DX-Y.NYB,backfill
2022-09-07,109.84,backfill:yahoo DX-Y.NYB,backfill
2022-09-08,109.71,backfill:yahoo DX-Y.NYB,backfill
2022-09-09,109,backfill:yahoo DX-Y.NYB,backfill
2022-09-12,108.33,backfill:yahoo DX-Y.NYB,backfill
2022-09-13,109.82,backfill:yahoo DX-Y.NYB,backfill
2022-09-14,109.66,backfill:yahoo DX-Y.NYB,backfill
2022-09-15,109.74,backfill:yahoo DX-Y.NYB,backfill
2022-09-16,109.76,backfill:yahoo DX-Y.NYB,backfill
2022-09-19,109.74,backfill:yahoo DX-Y.NYB,backfill
2022-09-20,110.22,backfill:yahoo DX-Y.NYB,backfill
2022-09-21,110.64,backfill:yahoo DX-Y.NYB,backfill
2022-09-22,111.35,backfill:yahoo DX-Y.NYB,backfill
2022-09-23,113.19,backfill:yahoo DX-Y.NYB,backfill
2022-09-26,114.1,backfill:yahoo DX-Y.NYB,backfill
2022-09-27,114.11,backfill:yahoo DX-Y.NYB,backfill
2022-09-28,112.6,backfill:yahoo DX-Y.NYB,backfill
2022-09-29,112.25,backfill:yahoo DX-Y.NYB,backfill
2022-09-30,112.12,backfill:yahoo DX-Y.NYB,backfill
2022-10-03,111.75,backfill:yahoo DX-Y.NYB,backfill
2022-10-04,110.07,backfill:yahoo DX-Y.NYB,backfill
2022-10-05,111.07,backfill:yahoo DX-Y.NYB,backfill
2022-10-06,112.26,backfill:yahoo DX-Y.NYB,backfill
2022-10-07,112.8,backfill:yahoo DX-Y.NYB,backfill
2022-10-10,113.14,backfill:yahoo DX-Y.NYB,backfill
2022-10-11,113.22,backfill:yahoo DX-Y.NYB,backfill
2022-10-12,113.32,backfill:yahoo DX-Y.NYB,backfill
2022-10-13,112.36,backfill:yahoo DX-Y.NYB,backfill
2022-10-14,113.31,backfill:yahoo DX-Y.NYB,backfill
2022-10-17,112.04,backfill:yahoo DX-Y.NYB,backfill
2022-10-18,112.13,backfill:yahoo DX-Y.NYB,backfill
2022-10-19,112.98,backfill:yahoo DX-Y.NYB,backfill
2022-10-20,112.88,backfill:yahoo DX-Y.NYB,backfill
2022-10-21,112.01,backfill:yahoo DX-Y.NYB,backfill
2022-10-24,111.99,backfill:yahoo DX-Y.NYB,backfill
2022-10-25,110.95,backfill:yahoo DX-Y.NYB,backfill
2022-10-26,109.7,backfill:yahoo DX-Y.NYB,backfill
2022-10-27,110.59,backfill:yahoo DX-Y.NYB,backfill
2022-10-28,110.67,backfill:yahoo DX-Y.NYB,backfill
2022-10-31,111.53,backfill:yahoo DX-Y.NYB,backfill
2022-11-01,111.48,backfill:yahoo DX-Y.NYB,backfill
2022-11-02,111.35,backfill:yahoo DX-Y.NYB,backfill
2022-11-03,112.93,backfill:yahoo DX-Y.NYB,backfill
2022-11-04,110.88,backfill:yahoo DX-Y.NYB,backfill
2022-11-07,110.12,backfill:yahoo DX-Y.NYB,backfill
2022-11-08,109.62,backfill:yahoo DX-Y.NYB,backfill
2022-11-09,110.55,backfill:yahoo DX-Y.NYB,backfill
2022-11-10,108.21,backfill:yahoo DX-Y.NYB,backfill
2022-11-11,106.29,backfill:yahoo DX-Y.NYB,backfill
2022-11-14,106.66,backfill:yahoo DX-Y.NYB,backfill
2022-11-15,106.4,backfill:yahoo DX-Y.NYB,backfill
2022-11-16,106.28,backfill:yahoo DX-Y.NYB,backfill
2022-11-17,106.69,backfill:yahoo DX-Y.NYB,backfill
2022-11-18,106.93,backfill:yahoo DX-Y.NYB,backfill
2022-11-21,107.84,backfill:yahoo DX-Y.NYB,backfill
2022-11-22,107.22,backfill:yahoo DX-Y.NYB,backfill
2022-11-23,106.08,backfill:yahoo DX-Y.NYB,backfill
2022-11-25,105.96,backfill:yahoo DX-Y.NYB,backfill
2022-11-28,106.68,backfill:yahoo DX-Y.NYB,backfill
2022-11-29,106.82,backfill:yahoo DX-Y.NYB,backfill
2022-11-30,105.95,backfill:yahoo DX-Y.NYB,backfill
2022-12-01,104.73,backfill:yahoo DX-Y.NYB,backfill
2022-12-02,104.55,backfill:yahoo DX-Y.NYB,backfill
2022-12-05,105.29,backfill:yahoo DX-Y.NYB,backfill
2022-12-06,105.58,backfill:yahoo DX-Y.NYB,backfill
2022-12-07,105.1,backfill:yahoo DX-Y.NYB,backfill
2022-12-08,104.77,backfill:yahoo DX-Y.NYB,backfill
2022-12-09,104.81,backfill:yahoo DX-Y.NYB,backfill
2022-12-12,105.13,backfill:yahoo DX-Y.NYB,backfill
2022-12-13,103.98,backfill:yahoo DX-Y.NYB,backfill
2022-12-14,103.77,backfill:yahoo DX-Y.NYB,backfill
2022-12-15,104.56,backfill:yahoo DX-Y.NYB,backfill
2022-12-16,104.7,backfill:yahoo DX-Y.NYB,backfill
2022-12-19,104.72,backfill:yahoo DX-Y.NYB,backfill
2022-12-20,103.97,backfill:yahoo DX-Y.NYB,backfill
2022-12-21,104.16,backfill:yahoo DX-Y.NYB,backfill
2022-12-22,104.43,backfill:yahoo DX-Y.NYB,backfill
2022-12-23,104.31,backfill:yahoo DX-Y.NYB,backfill
2022-12-27,104.18,backfill:yahoo DX-Y.NYB,backfill
2022-12-28,104.46,backfill:yahoo DX-Y.NYB,backfill
2022-12-29,103.84,backfill:yahoo DX-Y.NYB,backfill
2022-12-30,103.52,backfill:yahoo DX-Y.NYB,backfill
2023-01-03,104.52,backfill:yahoo DX-Y.NYB,backfill
2023-01-04,104.25,backfill:yahoo DX-Y.NYB,backfill
2023-01-05,105.04,backfill:yahoo DX-Y.NYB,backfill
2023-01-06,103.88,backfill:yahoo DX-Y.NYB,backfill
2023-01-09,103,backfill:yahoo DX-Y.NYB,backfill
2023-01-10,103.24,backfill:yahoo DX-Y.NYB,backfill
2023-01-11,103.19,backfill:yahoo DX-Y.NYB,backfill
2023-01-12,102.25,backfill:yahoo DX-Y.NYB,backfill
