date,value,source,parser
2012-04-30,2.1,backfill:oea-ici-xlsx,backfill
2012-05-31,6,backfill:oea-ici-xlsx,backfill
2012-06-30,4.6,backfill:oea-ici-xlsx,backfill
2012-07-31,4.2,backfill:oea-ici-xlsx,backfill
2012-08-31,2.5,backfill:oea-ici-xlsx,backfill
2012-09-30,5,backfill:oea-ici-xlsx,backfill
2012-10-31,5.6,backfill:oea-ici-xlsx,backfill
2012-11-30,2.8,backfill:oea-ici-xlsx,backfill
2012-12-31,4.2,backfill:oea-ici-xlsx,backfill
2013-01-31,5,backfill:oea-ici-xlsx,backfill
2013-02-28,-0.2,backfill:oea-ici-xlsx,backfill
2013-03-31,3.9,backfill:oea-ici-xlsx,backfill
2013-04-30,2.4,backfill:oea-ici-xlsx,backfill
2013-05-31,1.6,backfill:oea-ici-xlsx,backfill
2013-06-30,0,backfill:oea-ici-xlsx,backfill
2013-07-31,2.2,backfill:oea-ici-xlsx,backfill
2013-08-31,4.2,backfill:oea-ici-xlsx,backfill
2013-09-30,7.9,backfill:oea-ici-xlsx,backfill
2013-10-31,-1,backfill:oea-ici-xlsx,backfill
2013-11-30,0.6,backfill:oea-ici-xlsx,backfill
2013-12-31,2.8,backfill:oea-ici-xlsx,backfill
2014-01-31,2.5,backfill:oea-ici-xlsx,backfill
2014-02-28,4.9,backfill:oea-ici-xlsx,backfill
2014-03-31,2.9,backfill:oea-ici-xlsx,backfill
2014-04-30,5,backfill:oea-ici-xlsx,backfill
2014-05-31,5.2,backfill:oea-ici-xlsx,backfill
2014-06-30,9.6,backfill:oea-ici-xlsx,backfill
2014-07-31,4.2,backfill:oea-ici-xlsx,backfill
2014-08-31,5.6,backfill:oea-ici-xlsx,backfill
2014-09-30,3.4,backfill:oea-ici-xlsx,backfill
2014-10-31,8.9,backfill:oea-ici-xlsx,backfill
2014-11-30,9.3,backfill:oea-ici-xlsx,backfill
2014-12-31,3.3,backfill:oea-ici-xlsx,backfill
2015-01-31,2.9,backfill:oea-ici-xlsx,backfill
2015-02-28,3,backfill:oea-ici-xlsx,backfill
2015-03-31,0.1,backfill:oea-ici-xlsx,backfill
2015-04-30,-0.5,backfill:oea-ici-xlsx,backfill
2015-05-31,2.4,backfill:oea-ici-xlsx,backfill
2015-06-30,1.4,backfill:oea-ici-xlsx,backfill
2015-07-31,3,backfill:oea-ici-xlsx,backfill
2015-08-31,4,backfill:oea-ici-xlsx,backfill
2015-09-30,2.4,backfill:oea-ici-xlsx,backfill
2015-10-31,1.2,backfill:oea-ici-xlsx,backfill
2015-11-30,0.2,backfill:oea-ici-xlsx,backfill
2015-12-31,1.8,backfill:oea-ici-xlsx,backfill
2016-01-31,4.2,backfill:oea-ici-xlsx,backfill
2016-02-29,7.7,backfill:oea-ici-xlsx,backfill
2016-03-31,7.7,backfill:oea-ici-xlsx,backfill
2016-04-30,8.7,backfill:oea-ici-xlsx,backfill
2016-05-31,5.2,backfill:oea-ici-xlsx,backfill
2016-06-30,7,backfill:oea-ici-xlsx,backfill
2016-07-31,3.1,backfill:oea-ici-xlsx,backfill
2016-08-31,3.1,backfill:oea-ici-xlsx,backfill
2016-09-30,5.3,backfill:oea-ici-xlsx,backfill
2016-10-31,7.1,backfill:oea-ici-xlsx,backfill
2016-11-30,3.2,backfill:oea-ici-xlsx,backfill
2016-12-31,5.6,backfill:oea-ici-xlsx,backfill
2017-01-31,3.4,backfill:oea-ici-xlsx,backfill
2017-02-28,0.6,backfill:oea-ici-xlsx,backfill
2017-03-31,5.2,backfill:oea-ici-xlsx,backfill
2017-04-30,2.6,backfill:oea-ici-xlsx,backfill
2017-05-31,3.9,backfill:oea-ici-xlsx,backfill
2017-06-30,1,backfill:oea-ici-xlsx,backfill
2017-07-31,2.9,backfill:oea-ici-xlsx,backfill
2017-08-31,4.4,backfill:oea-ici-xlsx,backfill
2017-09-30,4.7,backfill:oea-ici-xlsx,backfill
2017-10-31,5,backfill:oea-ici-xlsx,backfill
2017-11-30,6.9,backfill:oea-ici-xlsx,backfill
2017-12-31,3.8,backfill:oea-ici-xlsx,backfill
2018-01-31,6.2,backfill:oea-ici-xlsx,backfill
2018-02-28,5.4,backfill:oea-ici-xlsx,backfill
2018-03-31,4.5,backfill:oea-ici-xlsx,backfill
2018-04-30,4.7,backfill:oea-ici-xlsx,backfill
2018-05-31,4.1,backfill:oea-ici-xlsx,backfill
2018-06-30,7.8,backfill:oea-ici-xlsx,backfill
2018-07-31,7.3,backfill:oea-ici-xlsx,backfill
2018-08-31,4.7,backfill:oea-ici-xlsx,backfill
2018-09-30,4.3,backfill:oea-ici-xlsx,backfill
2018-10-31,4.8,backfill:oea-ici-xlsx,backfill
2018-11-30,3.3,backfill:oea-ici-xlsx,backfill
2018-12-31,2.1,backfill:oea-ici-xlsx,backfill
2019-01-31,1.5,backfill:oea-ici-xlsx,backfill
2019-02-28,2.2,backfill:oea-ici-xlsx,backfill
2019-03-31,5.8,backfill:oea-ici-xlsx,backfill
2019-04-30,5.2,backfill:oea-ici-xlsx,backfill
2019-05-31,3.8,backfill:oea-ici-xlsx,backfill
2019-06-30,1.2,backfill:oea-ici-xlsx,backfill
2019-07-31,2.6,backfill:oea-ici-xlsx,backfill
2019-08-31,-0.2,backfill:oea-ici-xlsx,backfill
2019-09-30,-5.1,backfill:oea-ici-xlsx,backfill
2019-10-31,-5.5,backfill:oea-ici-xlsx,backfill
2019-11-30,0.7,backfill:oea-ici-xlsx,backfill
2019-12-31,3.1,backfill:oea-ici-xlsx,backfill
2020-01-31,2.2,backfill:oea-ici-xlsx,backfill
2020-02-29,6.4,backfill:oea-ici-xlsx,backfill
2020-03-31,-8.6,backfill:oea-ici-xlsx,backfill
2020-04-30,-37.9,backfill:oea-ici-xlsx,backfill
2020-05-31,-21.4,backfill:oea-ici-xlsx,backfill
2020-06-30,-12.4,backfill:oea-ici-xlsx,backfill
2020-07-31,-7.6,backfill:oea-ici-xlsx,backfill
2020-08-31,-6.9,backfill:oea-ici-xlsx,backfill
2020-09-30,0.6,backfill:oea-ici-xlsx,backfill
2020-10-31,-0.5,backfill:oea-ici-xlsx,backfill
2020-11-30,-1.1,backfill:oea-ici-xlsx,backfill
2020-12-31,0.4,backfill:oea-ici-xlsx,backfill
2021-01-31,1.3,backfill:oea-ici-xlsx,backfill
2021-02-28,-3.3,backfill:oea-ici-xlsx,backfill
2021-03-31,12.6,backfill:oea-ici-xlsx,backfill
2021-04-30,62.6,backfill:oea-ici-xlsx,backfill
2021-05-31,16.4,backfill:oea-ici-xlsx,backfill
2021-06-30,9.4,backfill:oea-ici-xlsx,backfill
2021-07-31,9.9,backfill:oea-ici-xlsx,backfill
2021-08-31,12.2,backfill:oea-ici-xlsx,backfill
2021-09-30,5.4,backfill:oea-ici-xlsx,backfill
2021-10-31,8.7,backfill:oea-ici-xlsx,backfill
2021-11-30,3.2,backfill:oea-ici-xlsx,backfill
2021-12-31,4.1,backfill:oea-ici-xlsx,backfill
2022-01-31,4,backfill:oea-ici-xlsx,backfill
2022-02-28,5.9,backfill:oea-ici-xlsx,backfill
2022-03-31,4.8,backfill:oea-ici-xlsx,backfill
2022-04-30,9.5,backfill:oea-ici-xlsx,backfill
2022-05-31,19.3,backfill:oea-ici-xlsx,backfill
2022-06-30,13.1,backfill:oea-ici-xlsx,backfill
2022-07-31,4.7,backfill:oea-ici-xlsx,backfill
2022-08-31,4.2,backfill:oea-ici-xlsx,backfill
2022-09-30,8.3,backfill:oea-ici-xlsx,backfill
2022-10-31,0.7,backfill:oea-ici-xlsx,backfill
2022-11-30,5.7,backfill:oea-ici-xlsx,backfill
2022-12-31,8.3,backfill:oea-ici-xlsx,backfill
2023-01-31,9.7,backfill:oea-ici-xlsx,backfill
2023-02-28,7.4,backfill:oea-ici-xlsx,backfill
2023-03-31,4.2,backfill:oea-ici-xlsx,backfill
2023-04-30,4.6,backfill:oea-ici-xlsx,backfill
2023-05-31,5.2,backfill:oea-ici-xlsx,backfill
2023-06-30,8.3,backfill:oea-ici-xlsx,backfill
2023-07-31,8.6,backfill:oea-ici-xlsx,backfill
2023-08-31,13.4,backfill:oea-ici-xlsx,backfill
2023-09-30,9.5,backfill:oea-ici-xlsx,backfill
2023-10-31,12.7,backfill:oea-ici-xlsx,backfill
2023-11-30,7.9,backfill:oea-ici-xlsx,backfill
2023-12-31,5.1,backfill:oea-ici-xlsx,backfill
2024-01-31,4.2,backfill:oea-ici-xlsx,backfill
2024-02-29,7.1,backfill:oea-ici-xlsx,backfill
2024-03-31,6.3,backfill:oea-ici-xlsx,backfill
2024-04-30,6.9,backfill:oea-ici-xlsx,backfill
2024-05-31,6.9,backfill:oea-ici-xlsx,backfill
2024-06-30,5,backfill:oea-ici-xlsx,backfill
2024-07-31,6.3,backfill:oea-ici-xlsx,backfill
2024-08-31,-1.5,backfill:oea-ici-xlsx,backfill
2024-09-30,2.4,backfill:oea-ici-xlsx,backfill
2024-10-31,3.8,backfill:oea-ici-xlsx,backfill
2024-11-30,5.8,backfill:oea-ici-xlsx,backfill
2024-12-31,5.1,backfill:oea-ici-xlsx,backfill
2025-01-31,5.1,backfill:oea-ici-xlsx,backfill
2025-02-28,3.4,backfill:oea-ici-xlsx,backfill
2025-03-31,4.5,backfill:oea-ici-xlsx,backfill
2025-04-30,1,backfill:oea-ici-xlsx,backfill
2025-05-31,1.2,backfill:oea-ici-xlsx,backfill
2025-06-30,2.2,backfill:oea-ici-xlsx,backfill
2025-07-31,3.7,backfill:oea-ici-xlsx,backfill
2025-08-31,6.5,backfill:oea-ici-xlsx,backfill
2025-09-30,3.3,backfill:oea-ici-xlsx,backfill
2025-10-31,-0.1,backfill:oea-ici-xlsx,backfill
2025-11-30,2.1,backfill:oea-ici-xlsx,backfill
2025-12-31,4.7,backfill:oea-ici-xlsx,backfill
2026-01-31,4.7,backfill:oea-ici-xlsx,backfill
2026-02-28,2.8,backfill:oea-ici-xlsx,backfill
2026-03-31,1.2,backfill:oea-ici-xlsx,backfill
2026-04-30,1.7,OEA ICI XLSX,tiered:tiered_v1
2026-05-31,0.5,OEA ICI XLSX,tiered:tiered_v1
