date,value
2021-05-31,6675.8115
2021-06-30,6724.012
2021-07-30,6770.1889
2021-08-29,6790.0784
2021-09-28,6788.2736
2021-10-28,6748.6548
2021-11-27,6744.1168
2021-12-27,6763.3535
2022-01-26,6735.7208
2022-02-25,6702.7748
2022-03-27,6707.4693
2022-04-26,6674.0227
2022-05-26,6653.6767
2022-06-25,6617.724
2022-07-25,6588.7834
2022-08-24,6585.687
2022-09-23,6598.3307
2022-10-23,6572.4138
2022-11-22,6539.7632
2022-12-22,6556.3437
2023-01-21,6559.9251
2023-02-20,6587.3179
2023-03-22,6612.7887
2023-04-21,6601.6943
2023-05-21,6635.3053
2023-06-20,6644.7993
2023-07-20,6640.4223
2023-08-19,6689.8058
2023-09-18,6677.2954
2023-10-18,6665.706
2023-11-17,6633.1272
2023-12-17,6682.3834
2024-01-16,6661.8733
2024-02-15,6689.647
2024-03-16,6698.7527
2024-04-15,6710.0219
2024-05-15,6740.8335
2024-06-14,6711.4418
2024-07-14,6727.07
2024-08-13,6678.5017
2024-09-12,6662.2833
2024-10-12,6630.8958
2024-11-11,6620.3809
2024-12-11,6623.0975
2025-01-10,6626.2234
2025-02-09,6586.296
2025-03-11,6582.3603
2025-04-10,6579.943
2025-05-10,6551.8797
2025-06-09,6527.9001
2025-07-09,6542.0498
2025-08-08,6578.6966
2025-09-07,6536.3508
2025-10-07,6496.0699
2025-11-06,6496.6346
2025-12-06,6506.7861
2026-01-05,6475.7135
2026-02-04,6430.2584
2026-03-06,6411.7102
2026-04-05,6409.9202
2026-05-05,6420
