date,value
2021-05-31,-42258.8321
2021-06-30,-42082.568
2021-07-30,-42010.1021
2021-08-29,-41771.9867
2021-09-28,-42031.4512
2021-10-28,-41900.3518
2021-11-27,-41823.9524
2021-12-27,-42125.1888
2022-01-26,-42363.155
2022-02-25,-42097.7589
2022-03-27,-42000.2917
2022-04-26,-42275.5576
2022-05-26,-42441.5553
2022-06-25,-42474.3641
2022-07-25,-42472.5022
2022-08-24,-42637.3108
2022-09-23,-42656.6367
2022-10-23,-42500.896
2022-11-22,-42827.6098
2022-12-22,-42955.2108
2023-01-21,-43286.7623
2023-02-20,-43109.8255
2023-03-22,-42966.8259
2023-04-21,-42715.4861
2023-05-21,-42754.3174
2023-06-20,-42740.9961
2023-07-20,-43061.8546
2023-08-19,-42891.1359
2023-09-18,-42588.4654
2023-10-18,-42900.2207
2023-11-17,-43108.4717
2023-12-17,-43124.3833
2024-01-16,-43032.8747
2024-02-15,-42947.091
2024-03-16,-43159.2743
2024-04-15,-42985.4257
2024-05-15,-42798.8139
2024-06-14,-42487.3358
2024-07-14,-42253.7173
2024-08-13,-42340.012
2024-09-12,-42079.7685
2024-10-12,-42071.6692
2024-11-11,-42079.4902
2024-12-11,-42393.1229
2025-01-10,-42476.9686
2025-02-09,-42332.8483
2025-03-11,-42561.6725
2025-04-10,-42696.6009
2025-05-10,-42744.8872
2025-06-09,-42744.4499
2025-07-09,-42806.3277
2025-08-08,-42593.7922
2025-09-07,-42457.1003
2025-10-07,-42350.7145
2025-11-06,-42091.1945
2025-12-06,-41911.5817
2026-01-05,-41626.8229
2026-02-04,-41459.8235
2026-03-06,-41721.2834
2026-04-05,-41625.075
2026-05-05,-41604.1842
2026-05-06,-3621.58
2026-05-07,-340.89
2026-05-08,-4110.6
2026-05-11,-4110.6
2026-05-12,-1959.39,NSE,tiered:tiered_v1
2026-05-13,-4703.15,NSE,tiered:tiered_v1
2026-05-14,-4703.15,NSE,tiered:tiered_v1
2026-05-15,187.46,NSE,tiered:tiered_v1
2026-05-18,2813.69,NSE,tiered:tiered_v1
2026-05-19,-2457.49,NSE,tiered:tiered_v1
2026-05-20,-1597.35,NSE,tiered:tiered_v1
2026-05-21,-1891.21,NSE,tiered:tiered_v1
2026-05-22,-4440.47,NSE,tiered:tiered_v1
2026-05-25,821.75,NSE,tiered:tiered_v1
2026-05-29,-1042.7,NSE,tiered:tiered_v1
2026-06-01,-3911.68,NSE,tiered:tiered_v1
2026-06-02,-8362.92,NSE,tiered:tiered_v1
2026-06-03,-5616.56,NSE,tiered:tiered_v1
2026-06-04,-4447.06,NSE,tiered:tiered_v1
2026-06-05,-8776.25,NSE,tiered:tiered_v1
2026-06-08,-5555.67,NSE,tiered:tiered_v1
2026-06-09,-4566.03,NSE,tiered:tiered_v1
