date,value,source,parser
2026-05-12,-1959.39,NSE,tiered:tiered_v1
2026-05-13,-4703.15,NSE,tiered:tiered_v1
2026-05-14,-4703.15,NSE,tiered:tiered_v1
2026-05-15,187.46,NSE,tiered:tiered_v1
2026-05-18,2813.69,NSE,tiered:tiered_v1
2026-05-19,-2457.49,NSE,tiered:tiered_v1
2026-05-20,-1597.35,NSE,tiered:tiered_v1
2026-05-21,-1891.21,NSE,tiered:tiered_v1
2026-05-22,-4440.47,NSE,tiered:tiered_v1
2026-05-25,821.75,NSE,tiered:tiered_v1
2026-05-29,-1042.7,NSE,tiered:tiered_v1
2026-06-01,-3911.68,NSE,tiered:tiered_v1
2026-06-02,-8362.92,NSE,tiered:tiered_v1
2026-06-03,-5616.56,NSE,tiered:tiered_v1
2026-06-04,-4447.06,NSE,tiered:tiered_v1
2026-06-05,-8776.25,NSE,tiered:tiered_v1
2026-06-08,-5555.67,NSE,tiered:tiered_v1
2026-06-09,-4566.03,NSE,tiered:tiered_v1
2026-06-11,-1987.09,NSE,tiered:tiered_v1
2026-06-12,-1082.18,NSE,tiered:tiered_v1
2026-06-15,200.05,NSE,tiered:tiered_v1
2026-06-16,-749.18,NSE,tiered:tiered_v1
2026-06-17,101.59,NSE,tiered:tiered_v1
2026-06-18,-1025.2,NSE,tiered:tiered_v1
2026-06-19,4859.07,NSE,tiered:tiered_v1
2026-06-20,4859.07,NSE,tiered:tiered_v1
2026-06-21,4859.07,NSE,tiered:tiered_v1
2026-06-22,4859.07,NSE,tiered:tiered_v1
2026-06-23,-635.91,NSE,tiered:tiered_v1
2026-06-24,17.86,NSE,tiered:tiered_v1
2026-06-25,-1843.4,NSE,tiered:tiered_v1
2026-06-26,383.76,NSE,tiered:tiered_v1
2026-06-27,383.76,NSE,tiered:tiered_v1
2026-06-28,383.76,NSE,tiered:tiered_v1
2026-06-29,383.76,NSE,tiered:tiered_v1
2026-06-30,-1350.1,NSE,tiered:tiered_v1
2026-07-01,-2556.75,NSE,tiered:tiered_v1
2026-07-02,-1140.5,NSE,tiered:tiered_v1
2026-07-03,1355.33,NSE,tiered:tiered_v1
2026-07-04,1355.33,NSE,tiered:tiered_v1
2026-07-05,1355.33,NSE,tiered:tiered_v1
2026-07-06,1355.33,NSE,tiered:tiered_v1
2026-07-07,243.03,NSE,tiered:tiered_v1
2026-07-08,393.19,NSE,tiered:tiered_v1
2026-07-09,1962.8,NSE,tiered:tiered_v1
2026-07-10,2603.72,NSE,tiered:tiered_v1
2026-07-11,2603.72,NSE,tiered:tiered_v1
2026-07-12,2603.72,NSE,tiered:tiered_v1
2026-07-13,2603.72,NSE,tiered:tiered_v1
2026-07-14,-3062.27,NSE,tiered:tiered_v1
2026-07-15,-735.83,NSE,tiered:tiered_v1
2026-07-16,-4205.56,NSE,tiered:tiered_v1
2026-07-17,-376.41,NSE,tiered:tiered_v1
2026-07-20,-1121.04,NSE,tiered:tiered_v1
2026-07-21,-1121.04,NSE,tiered:tiered_v1
2026-07-22,1650.16,NSE,tiered:tiered_v1
2026-07-23,-819.2,NSE,tiered:tiered_v1
2026-07-24,-3892.77,NSE,tiered:tiered_v1
2026-07-25,-3892.77,NSE,tiered:tiered_v1
2026-07-26,-3892.77,NSE,tiered:tiered_v1
2026-07-27,-1688.23,NSE,tiered:tiered_v1
2026-07-28,-1688.23,NSE,tiered:tiered_v1
2026-07-29,755.33,NSE,tiered:tiered_v1
2026-07-30,2981.87,NSE,tiered:tiered_v1
2026-07-31,277.48,NSE,tiered:tiered_v1
