date,value,source,parser
2026-05-12,-1959.39,NSE,tiered:tiered_v1
2026-05-13,-4703.15,NSE,tiered:tiered_v1
2026-05-14,-4703.15,NSE,tiered:tiered_v1
2026-05-15,187.46,NSE,tiered:tiered_v1
2026-05-18,2813.69,NSE,tiered:tiered_v1
2026-05-19,-2457.49,NSE,tiered:tiered_v1
2026-05-20,-1597.35,NSE,tiered:tiered_v1
2026-05-21,-1891.21,NSE,tiered:tiered_v1
2026-05-22,-4440.47,NSE,tiered:tiered_v1
2026-05-25,821.75,NSE,tiered:tiered_v1
2026-05-29,-1042.7,NSE,tiered:tiered_v1
2026-06-01,-3911.68,NSE,tiered:tiered_v1
2026-06-02,-8362.92,NSE,tiered:tiered_v1
2026-06-03,-5616.56,NSE,tiered:tiered_v1
2026-06-04,-4447.06,NSE,tiered:tiered_v1
2026-06-05,-8776.25,NSE,tiered:tiered_v1
2026-06-08,-5555.67,NSE,tiered:tiered_v1
2026-06-09,-4566.03,NSE,tiered:tiered_v1
2026-06-11,-1987.09,NSE,tiered:tiered_v1
2026-06-12,-1082.18,NSE,tiered:tiered_v1
