date,value,source,parser
2026-06-10,-271979,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-11,-266983,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-12,-243623,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-15,-241241,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-16,-229600,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-17,-224688,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-18,-221476,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-19,-226423,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-22,-222784,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-23,-228561,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-24,-229053,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-25,-223809,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-29,-234451,NSE participant-wise OI CSV,tiered:tiered_v1
2026-06-30,-256410,NSE participant-wise OI CSV,tiered:tiered_v1
2026-07-01,-260059,NSE participant-wise OI CSV,tiered:tiered_v1
2026-07-02,-256900,NSE participant-wise OI CSV,tiered:tiered_v1
