date,value,source,parser
2026-05-14,1,playwright,tiered:tiered_v1
2026-05-15,1,playwright,tiered:tiered_v1
2026-05-17,1,playwright,tiered:tiered_v1
2026-05-18,1,playwright,tiered:tiered_v1
2026-05-19,1,playwright,tiered:tiered_v1
2026-05-20,1,playwright,tiered:tiered_v1
2026-05-21,1,playwright,tiered:tiered_v1
2026-05-22,1,playwright,tiered:tiered_v1
2026-05-25,1,playwright,tiered:tiered_v1
2026-05-29,1,playwright,tiered:tiered_v1
2026-05-30,1,playwright,tiered:tiered_v1
2026-06-01,1,playwright,tiered:tiered_v1
2026-06-02,1,playwright,tiered:tiered_v1
2026-06-03,1,playwright,tiered:tiered_v1
2026-06-04,1,playwright,tiered:tiered_v1
2026-06-05,1,playwright,tiered:tiered_v1
2026-06-08,1,playwright,tiered:tiered_v1
2026-06-09,1,playwright,tiered:tiered_v1
2026-06-11,1,playwright,tiered:tiered_v1
2026-06-12,1,playwright,tiered:tiered_v1
2026-06-13,1,playwright,tiered:tiered_v1
2026-06-14,1,playwright,tiered:tiered_v1
2026-06-15,1,playwright,tiered:tiered_v1
2026-06-16,1,playwright,tiered:tiered_v1
2026-06-17,1,playwright,tiered:tiered_v1
2026-06-18,1,playwright,tiered:tiered_v1
2026-06-19,1,playwright,tiered:tiered_v1
2026-06-20,1,playwright,tiered:tiered_v1
2026-06-21,1,playwright,tiered:tiered_v1
2026-06-22,1,playwright,tiered:tiered_v1
2026-06-23,1,playwright,tiered:tiered_v1
2026-06-24,1,playwright,tiered:tiered_v1
2026-06-25,1,playwright,tiered:tiered_v1
2026-06-26,1,playwright,tiered:tiered_v1
2026-06-27,1,playwright,tiered:tiered_v1
2026-06-28,1,playwright,tiered:tiered_v1
2026-06-29,1,playwright,tiered:tiered_v1
2026-06-30,1,playwright,tiered:tiered_v1
2026-07-01,1,playwright,tiered:tiered_v1
2026-07-02,1,playwright,tiered:tiered_v1
2026-07-03,1,playwright,tiered:tiered_v1
2026-07-04,1,playwright,tiered:tiered_v1
2026-07-05,1,playwright,tiered:tiered_v1
2026-07-06,1,playwright,tiered:tiered_v1
2026-07-07,1,playwright,tiered:tiered_v1
2026-07-08,1,playwright,tiered:tiered_v1
2026-07-09,1,playwright,tiered:tiered_v1
2026-07-10,1,playwright,tiered:tiered_v1
2026-07-11,1,playwright,tiered:tiered_v1
2026-07-12,1,playwright,tiered:tiered_v1
