date,value,source,parser
2026-05-08,690,google-news-llm,tiered:tiered_v1
2026-05-15,690.7,RBI WSS Extract press release,tiered:tiered_v1
2026-05-26,688.9,RBI WSS Extract press release,tiered:tiered_v1
2026-05-27,688.9,RBI WSS Extract press release,tiered:tiered_v1
2026-05-29,688.9,RBI WSS Extract press release,tiered:tiered_v1
2026-06-05,682.3,RBI WSS Extract press release,tiered:tiered_v1
2026-06-12,681.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-15,681.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-16,681.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-17,681.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-18,681.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-19,671.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-20,671.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-21,671.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-22,671.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-23,671.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-24,671.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-25,671.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-26,671.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-27,672.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-28,672.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-29,672.6,RBI WSS Extract press release,tiered:tiered_v1
2026-06-30,672.6,RBI WSS Extract press release,tiered:tiered_v1
2026-07-01,672.6,RBI WSS Extract press release,tiered:tiered_v1
2026-07-02,672.6,RBI WSS Extract press release,tiered:tiered_v1
2026-07-03,672.6,RBI WSS Extract press release,tiered:tiered_v1
2026-07-04,666.9,RBI WSS Extract press release,tiered:tiered_v1
