date,value
2021-05-06,2535.7763
2021-05-07,2550.6472
2021-05-08,2550.1445
2021-05-09,2563.293
2021-05-10,2548.1534
2021-05-11,2563.1313
2021-05-12,2548.625
2021-05-13,2557.361
2021-05-14,2571.0281
2021-05-15,2580.9215
2021-05-16,2582.7431
2021-05-17,2582.3669
2021-05-18,2597.6948
2021-05-19,2595.6566
2021-05-20,2595.7697
2021-05-21,2603.2549
2021-05-22,2622.6475
2021-05-23,2605.017
2021-05-24,2603.2871
2021-05-25,2600.6394
2021-05-26,2612.7717
2021-05-27,2607.5648
2021-05-28,2622.2518
2021-05-29,2635.3873
2021-05-30,2617.7785
2021-05-31,2613.9287
2021-06-01,2608.4414
2021-06-02,2614.2251
2021-06-03,2606.1202
2021-06-04,2622.3769
2021-06-05,2607.3271
2021-06-06,2612.2177
2021-06-07,2593.349
2021-06-08,2594.3095
2021-06-09,2596.7845
2021-06-10,2613.6951
2021-06-11,2625.5124
2021-06-12,2621.6066
2021-06-13,2637.0461
2021-06-14,2630.468
2021-06-15,2643.6834
2021-06-16,2661.3734
2021-06-17,2652.8414
2021-06-18,2644.8285
2021-06-19,2637.9091
2021-06-20,2619.2396
2021-06-21,2625.6454
2021-06-22,2613.1377
2021-06-23,2598.7122
2021-06-24,2607.5741
2021-06-25,2591.2188
2021-06-26,2600.6699
2021-06-27,2600.9906
2021-06-28,2604.5411
2021-06-29,2600.8707
2021-06-30,2588.1195
2021-07-01,2579.9286
2021-07-02,2598.3771
2021-07-03,2606.0765
2021-07-04,2593.042
2021-07-05,2601.1495
2021-07-06,2588.3481
2021-07-07,2571.3703
2021-07-08,2552.7155
2021-07-09,2551.5872
2021-07-10,2561.5303
2021-07-11,2548.2617
2021-07-12,2533.3569
2021-07-13,2528.06
2021-07-14,2539.6861
2021-07-15,2553.0739
2021-07-16,2542.4987
2021-07-17,2539.2898
2021-07-18,2524.1865
2021-07-19,2524.2283
2021-07-20,2528.4745
2021-07-21,2540.9963
2021-07-22,2550.1046
2021-07-23,2561.568
2021-07-24,2569.622
2021-07-25,2580.7395
2021-07-26,2566.9033
2021-07-27,2583.047
2021-07-28,2597.3084
2021-07-29,2609.2344
2021-07-30,2594.957
2021-07-31,2609.6526
2021-08-01,2628.2964
2021-08-02,2646.7605
2021-08-03,2636.9377
2021-08-04,2645.97
2021-08-05,2632.3791
2021-08-06,2615.8058
2021-08-07,2611.3039
2021-08-08,2601.2035
2021-08-09,2590.5004
2021-08-10,2588.255
2021-08-11,2576.8527
2021-08-12,2593.2167
2021-08-13,2585.9856
2021-08-14,2579.8465
2021-08-15,2593.9026
2021-08-16,2600.8768
2021-08-17,2608.1013
2021-08-18,2601.0159
2021-08-19,2590.9644
2021-08-20,2607.7579
2021-08-21,2602.2955
2021-08-22,2605.4252
2021-08-23,2618.249
2021-08-24,2637.3437
2021-08-25,2641.779
2021-08-26,2645.6335
2021-08-27,2637.6971
2021-08-28,2634.4002
2021-08-29,2625.6818
2021-08-30,2612.1033
2021-08-31,2627.7335
2021-09-01,2630.3413
2021-09-02,2612.942
2021-09-03,2626.1705
2021-09-04,2635.9548
2021-09-05,2631.0235
2021-09-06,2630.7171
2021-09-07,2618.9451
2021-09-08,2633.8594
2021-09-09,2637.5347
2021-09-10,2639.7235
2021-09-11,2621.6429
2021-09-12,2623.4143
2021-09-13,2621.8742
2021-09-14,2607.8805
2021-09-15,2623.2401
2021-09-16,2631.0095
2021-09-17,2646.6697
2021-09-18,2647.0624
2021-09-19,2663.5057
2021-09-20,2653.7142
2021-09-21,2642.0838
2021-09-22,2660.2248
2021-09-23,2675.0232
2021-09-24,2664.7982
2021-09-25,2659.8466
2021-09-26,2645.1327
2021-09-27,2643.5516
2021-09-28,2640.3234
2021-09-29,2620.7326
2021-09-30,2632.8721
2021-10-01,2634.8991
2021-10-02,2644.1012
2021-10-03,2649.5112
2021-10-04,2640.5113
2021-10-05,2621.8041
2021-10-06,2625.4936
2021-10-07,2634.7345
2021-10-08,2620.79
2021-10-09,2638.9487
2021-10-10,2641.7531
2021-10-11,2641.5357
2021-10-12,2638.2038
2021-10-13,2647.8559
2021-10-14,2633.1776
2021-10-15,2643.7926
2021-10-16,2639.2416
2021-10-17,2625.8923
2021-10-18,2641.4455
2021-10-19,2641.1029
2021-10-20,2647.0478
2021-10-21,2663.4425
2021-10-22,2659.7627
2021-10-23,2643.6146
2021-10-24,2627.3188
2021-10-25,2630.6568
2021-10-26,2612.4881
2021-10-27,2594.6242
2021-10-28,2590.9479
2021-10-29,2594.5801
2021-10-30,2579.6657
2021-10-31,2563.3079
2021-11-01,2572.016
2021-11-02,2589.2897
2021-11-03,2575.348
2021-11-04,2576.8778
2021-11-05,2579.6682
2021-11-06,2578.8376
2021-11-07,2593.5241
2021-11-08,2578.0503
2021-11-09,2566.4182
2021-11-10,2577.5609
2021-11-11,2580.5875
2021-11-12,2581.8954
2021-11-13,2581.5497
2021-11-14,2600.4183
2021-11-15,2591.0035
2021-11-16,2607.4822
2021-11-17,2596.6313
2021-11-18,2609.0577
2021-11-19,2613.364
2021-11-20,2595.5904
2021-11-21,2601.7737
2021-11-22,2617.8584
2021-11-23,2614.1174
2021-11-24,2602.1414
2021-11-25,2586.7908
2021-11-26,2572.4418
2021-11-27,2580.3677
2021-11-28,2581.7663
2021-11-29,2564.4499
2021-11-30,2550.8724
2021-12-01,2566.8084
2021-12-02,2562.0294
2021-12-03,2562.2475
2021-12-04,2570.2186
2021-12-05,2569.4334
2021-12-06,2553.3369
2021-12-07,2538.4357
2021-12-08,2534.994
2021-12-09,2528.1182
2021-12-10,2509.975
2021-12-11,2511.654
2021-12-12,2526.5827
2021-12-13,2521.0107
2021-12-14,2527.073
2021-12-15,2508.4322
2021-12-16,2489.413
2021-12-17,2487.8103
2021-12-18,2492.4098
2021-12-19,2510.3506
2021-12-20,2520.7334
2021-12-21,2525.5227
2021-12-22,2524.477
2021-12-23,2518.0189
2021-12-24,2503.2176
2021-12-25,2512.5292
2021-12-26,2509.2281
2021-12-27,2507.1308
2021-12-28,2501.9419
2021-12-29,2506.5177
2021-12-30,2492.7671
2021-12-31,2478.0751
2022-01-01,2491.261
2022-01-02,2504.937
2022-01-03,2508.7277
2022-01-04,2492.5585
2022-01-05,2508.9575
2022-01-06,2525.6242
2022-01-07,2524.9967
2022-01-08,2529.7767
2022-01-09,2524.2075
2022-01-10,2521.68
2022-01-11,2518.4832
2022-01-12,2535.335
2022-01-13,2549.8346
2022-01-14,2543.0895
2022-01-15,2531.0892
2022-01-16,2529.6878
2022-01-17,2531.3709
2022-01-18,2518.9988
2022-01-19,2525.3828
2022-01-20,2532.2728
2022-01-21,2520.5338
2022-01-22,2536.5174
2022-01-23,2531.4061
2022-01-24,2536.8924
2022-01-25,2527.6644
2022-01-26,2538.1547
2022-01-27,2544.9513
2022-01-28,2545.9892
2022-01-29,2552.3533
2022-01-30,2549.015
2022-01-31,2546.6898
2022-02-01,2543.3303
2022-02-02,2541.806
2022-02-03,2530.3581
2022-02-04,2546.2388
2022-02-05,2531.9012
2022-02-06,2523.5734
2022-02-07,2514.4805
2022-02-08,2499.1932
2022-02-09,2491.1662
2022-02-10,2474.7966
2022-02-11,2467.177
2022-02-12,2478.1168
2022-02-13,2474.9989
2022-02-14,2474.2973
2022-02-15,2482.0481
2022-02-16,2475.9097
2022-02-17,2462.0091
2022-02-18,2477.7757
2022-02-19,2459.2151
2022-02-20,2454.972
2022-02-21,2450.7448
2022-02-22,2433.7007
2022-02-23,2436.2819
2022-02-24,2428.2828
2022-02-25,2439.3122
2022-02-26,2447.4961
2022-02-27,2442.8573
2022-02-28,2454.8664
2022-03-01,2469.6611
2022-03-02,2484.4137
2022-03-03,2472.8456
2022-03-04,2466.0996
2022-03-05,2474.5653
2022-03-06,2472.17
2022-03-07,2470.7773
2022-03-08,2458.4444
2022-03-09,2461.2861
2022-03-10,2450.3718
2022-03-11,2466.8644
2022-03-12,2482.2172
2022-03-13,2497.1112
2022-03-14,2506.4698
2022-03-15,2518.2822
2022-03-16,2500.9677
2022-03-17,2499.2809
2022-03-18,2498.6107
2022-03-19,2506.2142
2022-03-20,2510.6312
2022-03-21,2516.0237
2022-03-22,2504.9423
2022-03-23,2500.8282
2022-03-24,2516.605
2022-03-25,2528.4724
2022-03-26,2528.7973
2022-03-27,2545.4446
2022-03-28,2558.6717
2022-03-29,2557.2438
2022-03-30,2551.7306
2022-03-31,2535.5124
2022-04-01,2522.5521
2022-04-02,2511.8058
2022-04-03,2517.9101
2022-04-04,2509.9457
2022-04-05,2519.9993
2022-04-06,2516.9974
2022-04-07,2520.3296
2022-04-08,2507.3224
2022-04-09,2502.5409
2022-04-10,2490.6746
2022-04-11,2473.5137
2022-04-12,2483.5259
2022-04-13,2493.2015
2022-04-14,2498.9428
2022-04-15,2497.9091
2022-04-16,2501.0877
2022-04-17,2496.8614
2022-04-18,2502.0222
2022-04-19,2499.8647
2022-04-20,2496.791
2022-04-21,2480.1906
2022-04-22,2465.6636
2022-04-23,2461.3177
2022-04-24,2465.9785
2022-04-25,2463.0149
2022-04-26,2455.0236
2022-04-27,2440.1609
2022-04-28,2452.5295
2022-04-29,2458.1261
2022-04-30,2460.9283
2022-05-01,2477.0662
2022-05-02,2472.2398
2022-05-03,2480.7216
2022-05-04,2486.971
2022-05-05,2490.3798
2022-05-06,2482.0544
2022-05-07,2484.4542
2022-05-08,2501.4755
2022-05-09,2513.2635
2022-05-10,2495.5873
2022-05-11,2480.4428
2022-05-12,2465.969
2022-05-13,2482.5982
2022-05-14,2488.0085
2022-05-15,2498.1939
2022-05-16,2491.9497
2022-05-17,2502.769
2022-05-18,2520.6921
2022-05-19,2512.6521
2022-05-20,2513.2432
2022-05-21,2517.1971
2022-05-22,2518.7481
2022-05-23,2500.0793
2022-05-24,2515.2007
2022-05-25,2516.2242
2022-05-26,2505.3769
2022-05-27,2510.8492
2022-05-28,2515.9644
2022-05-29,2512.4479
2022-05-30,2504.351
2022-05-31,2485.2514
2022-06-01,2468.4911
2022-06-02,2463.7242
2022-06-03,2446.1645
2022-06-04,2440.5991
2022-06-05,2443.1017
2022-06-06,2424.7145
2022-06-07,2430.7346
2022-06-08,2431.5932
2022-06-09,2434.641
2022-06-10,2442.6923
2022-06-11,2457.3933
2022-06-12,2469.4848
2022-06-13,2480.5767
2022-06-14,2477.7742
2022-06-15,2469.0451
2022-06-16,2450.6745
2022-06-17,2451.1996
2022-06-18,2456.2358
2022-06-19,2467.391
2022-06-20,2456.9829
2022-06-21,2460.0005
2022-06-22,2474.9196
2022-06-23,2459.9799
2022-06-24,2471.1027
2022-06-25,2452.277
2022-06-26,2443.5177
2022-06-27,2439.92
2022-06-28,2434.8055
2022-06-29,2447.6601
2022-06-30,2453.951
2022-07-01,2439.203
2022-07-02,2434.3966
2022-07-03,2440.3457
2022-07-04,2439.5334
2022-07-05,2434.2129
2022-07-06,2425.9903
2022-07-07,2426.593
2022-07-08,2439.7743
2022-07-09,2434.7928
2022-07-10,2421.1902
2022-07-11,2426.311
2022-07-12,2430.6936
2022-07-13,2442.9402
2022-07-14,2446.5617
2022-07-15,2463.6209
2022-07-16,2466.5412
2022-07-17,2470.407
2022-07-18,2451.6516
2022-07-19,2445.788
2022-07-20,2440.2679
2022-07-21,2451.6021
2022-07-22,2444.7909
2022-07-23,2432.9737
2022-07-24,2447.8936
2022-07-25,2456.6943
2022-07-26,2449.9853
2022-07-27,2434.9027
2022-07-28,2429.5472
2022-07-29,2438.3414
2022-07-30,2420.2615
2022-07-31,2417.7253
2022-08-01,2399.4382
2022-08-02,2407.873
2022-08-03,2416.7457
2022-08-04,2421.0642
2022-08-05,2416.5086
2022-08-06,2405.8407
2022-08-07,2406.6234
2022-08-08,2421.951
2022-08-09,2411.8787
2022-08-10,2415.719
2022-08-11,2432.6197
2022-08-12,2422.8164
2022-08-13,2424.9348
2022-08-14,2418.6191
2022-08-15,2430.9615
2022-08-16,2446.711
2022-08-17,2442.4819
2022-08-18,2456.4088
2022-08-19,2444.7563
2022-08-20,2451.0393
2022-08-21,2451.3061
2022-08-22,2449.4934
2022-08-23,2461.5464
2022-08-24,2452.6628
2022-08-25,2456.5185
2022-08-26,2448.5535
2022-08-27,2450.2142
2022-08-28,2443.2852
2022-08-29,2437.6238
2022-08-30,2423.3795
2022-08-31,2437.9055
2022-09-01,2453.027
2022-09-02,2440.9828
2022-09-03,2448.4527
2022-09-04,2449.391
2022-09-05,2465.4203
2022-09-06,2446.5368
2022-09-07,2427.6814
2022-09-08,2416.7301
2022-09-09,2429.28
2022-09-10,2419.491
2022-09-11,2432.1743
2022-09-12,2440.5152
2022-09-13,2432.4412
2022-09-14,2427.3325
2022-09-15,2431.33
2022-09-16,2440.4925
2022-09-17,2431.8297
2022-09-18,2433.8391
2022-09-19,2421.2573
2022-09-20,2417.9587
2022-09-21,2405.9929
2022-09-22,2419.6197
2022-09-23,2427.7878
2022-09-24,2424.728
2022-09-25,2409.6648
2022-09-26,2392.0376
2022-09-27,2396.509
2022-09-28,2401.2529
2022-09-29,2413.7705
2022-09-30,2421.1606
2022-10-01,2417.912
2022-10-02,2420.493
2022-10-03,2436.3989
2022-10-04,2433.978
2022-10-05,2450.8624
2022-10-06,2453.6417
2022-10-07,2454.4359
2022-10-08,2467.3196
2022-10-09,2457.7499
2022-10-10,2473.2311
2022-10-11,2458.677
2022-10-12,2466.2501
2022-10-13,2483.5557
2022-10-14,2494.4731
2022-10-15,2479.3513
2022-10-16,2479.528
2022-10-17,2491.4768
2022-10-18,2475.9647
2022-10-19,2487.8617
2022-10-20,2492.2244
2022-10-21,2501.3553
2022-10-22,2506.9056
2022-10-23,2516.4445
2022-10-24,2513.6807
2022-10-25,2524.8179
2022-10-26,2533.9023
2022-10-27,2549.8769
2022-10-28,2532.0922
2022-10-29,2513.1545
2022-10-30,2498.8897
2022-10-31,2510.3046
