date,value,source,parser
2026-05-14,NaN,derived,manual:derived_v1
2026-05-15,179,derived,manual:derived_v1
2026-05-25,178,derived,manual:derived_v1
2026-05-29,173,derived,manual:derived_v1
2026-06-05,170,derived,manual:derived_v1
2026-06-11,167,derived,manual:derived_v1
2026-06-15,163,derived,manual:derived_v1
2026-06-16,163,derived,manual:derived_v1
2026-06-17,161,derived,manual:derived_v1
2026-06-18,159,derived,manual:derived_v1
2026-06-20,160,derived,manual:derived_v1
2026-06-21,160,derived,manual:derived_v1
2026-06-22,160,derived,manual:derived_v1
2026-06-23,159,derived,manual:derived_v1
2026-06-24,157,derived,manual:derived_v1
2026-06-25,151,derived,manual:derived_v1
2026-06-27,152,derived,manual:derived_v1
2026-06-28,152,derived,manual:derived_v1
2026-06-29,150,derived,manual:derived_v1
2026-06-30,148,derived,manual:derived_v1
