date,value,source,parser
2026-05-12,84,hormuz-watch /api/snapshot,tiered:tiered_v1
2026-05-13,84,hormuz-watch /api/snapshot (static),tiered:tiered_v1
2026-05-14,141,hormuz-watch /api/snapshot,tiered:tiered_v1
2026-05-12,12,manual-override,manual:override
2026-05-29,12,manual-override,manual:override
2026-06-11,331,hormuz-watch API,tiered:tiered_v1
2026-05-29,12,manual-override,manual:override
2026-07-28,17,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-07-29,10,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-07-30,10,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-07-31,10,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-01,10,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-02,10,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-03,10,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-04,10,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-05,2,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-06,2,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-07,2,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-08,2,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-09,2,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-10,2,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-11,2,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-12,8,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-13,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-14,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-15,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-16,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-17,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-18,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-17,0,google-news-llm,tiered:tiered_v1
2026-08-19,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-20,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-21,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-22,1,multi-tracker median (1/4 sources),tiered:tiered_v1
2026-08-23,1,multi-tracker median (1/4 sources),tiered:tiered_v1
