date,value
2021-05-31,5.4387
2021-06-30,5.4418
2021-07-30,5.4249
2021-08-29,5.4496
2021-09-28,5.4156
2021-10-28,5.442
2021-11-27,5.4099
2021-12-27,5.3761
2022-01-26,5.3401
2022-02-25,5.3525
2022-03-27,5.3437
2022-04-26,5.342
2022-05-26,5.3328
2022-06-25,5.3397
2022-07-25,5.3435
2022-08-24,5.3337
2022-09-23,5.3502
2022-10-23,5.3801
2022-11-22,5.3911
2022-12-22,5.3703
2023-01-21,5.3323
2023-02-20,5.3462
2023-03-22,5.3105
2023-04-21,5.2795
2023-05-21,5.2884
2023-06-20,5.307
2023-07-20,5.3374
2023-08-19,5.2987
2023-09-18,5.3114
2023-10-18,5.3497
2023-11-17,5.3215
2023-12-17,5.3164
2024-01-16,5.3434
2024-02-15,5.3436
2024-03-16,5.3663
2024-04-15,5.3387
2024-05-15,5.3611
2024-06-14,5.3263
2024-07-14,5.3036
2024-08-13,5.3291
2024-09-12,5.3324
2024-10-12,5.3133
2024-11-11,5.2878
2024-12-11,5.2867
2025-01-10,5.3242
2025-02-09,5.3124
2025-03-11,5.3038
2025-04-10,5.2752
2025-05-10,5.2538
2025-06-09,5.2469
2025-07-09,5.2555
2025-08-08,5.2451
2025-09-07,5.256
2025-10-07,5.2888
2025-11-06,5.2509
2025-12-06,5.2437
2026-01-05,5.211
2026-02-04,5.1928
2026-03-06,5.2288
2026-04-05,5.1998
2026-05-05,5.2
2026-03-31,4.1
