date,value,source,parser
2026-05-14,230,derived,manual:derived_v1
2026-05-15,230,derived,manual:derived_v1
2026-05-29,230,derived,manual:derived_v1
2026-06-08,235,derived,manual:derived_v1
2026-06-11,237,derived,manual:derived_v1
2026-06-12,241,derived,manual:derived_v1
2026-06-15,242,derived,manual:derived_v1
2026-06-16,243,derived,manual:derived_v1
2026-06-17,242,derived,manual:derived_v1
2026-06-12,235,derived,manual:derived_v1
2026-06-18,240,derived,manual:derived_v1
2026-06-22,235,derived,manual:derived_v1
2026-06-18,239,derived,manual:derived_v1
2026-06-23,235,derived,manual:derived_v1
2026-06-18,237,derived,manual:derived_v1
2026-06-24,238,derived,manual:derived_v1
2026-06-18,231,derived,manual:derived_v1
2026-06-25,240,derived,manual:derived_v1
2026-06-26,241,derived,manual:derived_v1
2026-06-29,237,derived,manual:derived_v1
2026-06-26,236,derived,manual:derived_v1
2026-06-30,235,derived,manual:derived_v1
2026-06-26,237,derived,manual:derived_v1
2026-07-01,228,derived,manual:derived_v1
2026-06-26,235,derived,manual:derived_v1
2026-07-02,226,derived,manual:derived_v1
2026-07-06,223,derived,manual:derived_v1
2026-07-02,219,derived,manual:derived_v1
2026-07-07,218,derived,manual:derived_v1
2026-07-08,217,derived,manual:derived_v1
2026-07-09,220,derived,manual:derived_v1
2026-07-10,216,derived,manual:derived_v1
2026-07-13,213,derived,manual:derived_v1
2026-07-14,224,derived,manual:derived_v1
2026-07-15,223,derived,manual:derived_v1
2026-07-16,216,derived,manual:derived_v1
2026-07-17,223,derived,manual:derived_v1
2026-07-20,219,derived,manual:derived_v1
2026-07-21,217,derived,manual:derived_v1
2026-07-22,215,derived,manual:derived_v1
2026-07-23,213,derived,manual:derived_v1
2026-07-24,215,derived,manual:derived_v1
2026-07-23,212,derived,manual:derived_v1
2026-07-27,213,derived,manual:derived_v1
2026-07-28,219,derived,manual:derived_v1
2026-07-29,218,derived,manual:derived_v1
2026-07-30,213,derived,manual:derived_v1
2026-07-31,208,derived,manual:derived_v1
2026-08-03,217,derived,manual:derived_v1
2026-07-31,210,derived,manual:derived_v1
2026-08-04,220,derived,manual:derived_v1
2026-08-05,215,derived,manual:derived_v1
2026-08-07,214,derived,manual:derived_v1
2026-08-10,208,derived,manual:derived_v1
2026-08-11,211,derived,manual:derived_v1
2026-08-12,212,derived,manual:derived_v1
2026-08-13,214,derived,manual:derived_v1
2026-08-14,210,derived,manual:derived_v1
2026-08-17,210,derived,manual:derived_v1
2026-08-14,214,derived,manual:derived_v1
2026-08-18,209,derived,manual:derived_v1
2026-08-19,217,derived,manual:derived_v1
2026-08-20,217,derived,manual:derived_v1
2026-08-21,215,derived,manual:derived_v1
2026-08-24,217,derived,manual:derived_v1
2026-08-25,219,derived,manual:derived_v1
2026-08-26,219,derived,manual:derived_v1
2026-08-27,223,derived,manual:derived_v1
2026-08-28,219,derived,manual:derived_v1
2026-08-27,224,derived,manual:derived_v1
2026-08-28,219,derived,manual:derived_v1
2026-08-31,219,derived,manual:derived_v1
