date,value
2021-05-11,4.8854
2021-05-18,4.8695
2021-05-25,4.8922
2021-06-01,4.887
2021-06-08,4.8601
2021-06-15,4.8547
2021-06-22,4.8231
2021-06-29,4.8105
2021-07-06,4.7852
2021-07-13,4.7926
2021-07-20,4.7985
2021-07-27,4.8087
2021-08-03,4.8167
2021-08-10,4.8269
2021-08-17,4.8397
2021-08-24,4.8148
2021-08-31,4.8194
2021-09-07,4.8156
2021-09-14,4.8205
2021-09-21,4.8436
2021-09-28,4.8681
2021-10-05,4.9044
2021-10-12,4.9305
2021-10-19,4.9356
2021-10-26,4.9271
2021-11-02,4.9224
2021-11-09,4.9549
2021-11-16,4.9759
2021-11-23,4.9665
2021-11-30,4.9728
2021-12-07,4.9619
2021-12-14,4.931
2021-12-21,4.9202
2021-12-28,4.9272
2022-01-04,4.9338
2022-01-11,4.8995
2022-01-18,4.909
2022-01-25,4.9191
2022-02-01,4.9022
2022-02-08,4.9017
2022-02-15,4.9372
2022-02-22,4.9571
2022-03-01,4.9246
2022-03-08,4.8919
2022-03-15,4.9265
2022-03-22,4.9308
2022-03-29,4.9218
2022-04-05,4.9363
2022-04-12,4.9084
2022-04-19,4.9157
2022-04-26,4.8867
2022-05-03,4.899
2022-05-10,4.8806
2022-05-17,4.853
2022-05-24,4.8485
2022-05-31,4.864
2022-06-07,4.8416
2022-06-14,4.8185
2022-06-21,4.7953
2022-06-28,4.8182
2022-07-05,4.8195
2022-07-12,4.8187
2022-07-19,4.8454
2022-07-26,4.8115
2022-08-02,4.7927
2022-08-09,4.8271
2022-08-16,4.8091
2022-08-23,4.7849
2022-08-30,4.7791
2022-09-06,4.8032
2022-09-13,4.7725
2022-09-20,4.7743
2022-09-27,4.7961
2022-10-04,4.8074
2022-10-11,4.7908
2022-10-18,4.7872
2022-10-25,4.7657
2022-11-01,4.7953
2022-11-08,4.8295
2022-11-15,4.8629
2022-11-22,4.859
2022-11-29,4.8288
2022-12-06,4.8461
2022-12-13,4.8191
2022-12-20,4.8089
2022-12-27,4.7754
2023-01-03,4.7828
2023-01-10,4.7717
2023-01-17,4.7762
2023-01-24,4.7667
2023-01-31,4.7761
2023-02-07,4.7563
2023-02-14,4.7915
2023-02-21,4.7783
2023-02-28,4.7537
2023-03-07,4.7538
2023-03-14,4.7443
2023-03-21,4.7794
2023-03-28,4.8088
