date,value,source,parser
2021-06-11,14.1,backfill:yahoo ^INDIAVIX,backfill
2021-06-14,14.72,backfill:yahoo ^INDIAVIX,backfill
2021-06-15,14.61,backfill:yahoo ^INDIAVIX,backfill
2021-06-16,14.87,backfill:yahoo ^INDIAVIX,backfill
2021-06-17,15.29,backfill:yahoo ^INDIAVIX,backfill
2021-06-18,14.8,backfill:yahoo ^INDIAVIX,backfill
2021-06-21,15.06,backfill:yahoo ^INDIAVIX,backfill
2021-06-22,14.74,backfill:yahoo ^INDIAVIX,backfill
2021-06-23,15.37,backfill:yahoo ^INDIAVIX,backfill
2021-06-24,15.1,backfill:yahoo ^INDIAVIX,backfill
2021-06-25,13.37,backfill:yahoo ^INDIAVIX,backfill
2021-06-28,13.4,backfill:yahoo ^INDIAVIX,backfill
2021-06-29,13,backfill:yahoo ^INDIAVIX,backfill
2021-06-30,13.05,backfill:yahoo ^INDIAVIX,backfill
2021-07-01,12.84,backfill:yahoo ^INDIAVIX,backfill
2021-07-02,12.09,backfill:yahoo ^INDIAVIX,backfill
2021-07-06,12.28,backfill:yahoo ^INDIAVIX,backfill
2021-07-07,12.21,backfill:yahoo ^INDIAVIX,backfill
2021-07-08,13.56,backfill:yahoo ^INDIAVIX,backfill
2021-07-09,12.94,backfill:yahoo ^INDIAVIX,backfill
2021-07-12,12.99,backfill:yahoo ^INDIAVIX,backfill
2021-07-13,12.62,backfill:yahoo ^INDIAVIX,backfill
2021-07-14,12.59,backfill:yahoo ^INDIAVIX,backfill
2021-07-15,12.27,backfill:yahoo ^INDIAVIX,backfill
2021-07-16,11.71,backfill:yahoo ^INDIAVIX,backfill
2021-07-19,12.68,backfill:yahoo ^INDIAVIX,backfill
2021-07-20,13.21,backfill:yahoo ^INDIAVIX,backfill
2021-07-22,11.89,backfill:yahoo ^INDIAVIX,backfill
2021-07-23,11.76,backfill:yahoo ^INDIAVIX,backfill
2021-07-26,12.45,backfill:yahoo ^INDIAVIX,backfill
2021-07-27,13.23,backfill:yahoo ^INDIAVIX,backfill
2021-07-28,13.69,backfill:yahoo ^INDIAVIX,backfill
2021-07-29,12.95,backfill:yahoo ^INDIAVIX,backfill
2021-07-30,12.8,backfill:yahoo ^INDIAVIX,backfill
2021-08-02,12.81,backfill:yahoo ^INDIAVIX,backfill
2021-08-03,13.75,backfill:yahoo ^INDIAVIX,backfill
2021-08-04,13.21,backfill:yahoo ^INDIAVIX,backfill
2021-08-05,12.87,backfill:yahoo ^INDIAVIX,backfill
