date,value,source,parser
2021-06-10,73.0123,backfill:yahoo INR=X,backfill
2021-06-13,73.2316,backfill:yahoo INR=X,backfill
2021-06-14,73.1808,backfill:yahoo INR=X,backfill
2021-06-15,73.3447,backfill:yahoo INR=X,backfill
2021-06-16,73.8241,backfill:yahoo INR=X,backfill
2021-06-17,74.2539,backfill:yahoo INR=X,backfill
2021-06-20,74.1439,backfill:yahoo INR=X,backfill
2021-06-21,74.1352,backfill:yahoo INR=X,backfill
2021-06-22,74.3322,backfill:yahoo INR=X,backfill
2021-06-23,74.2469,backfill:yahoo INR=X,backfill
2021-06-24,74.1903,backfill:yahoo INR=X,backfill
2021-06-27,74.213,backfill:yahoo INR=X,backfill
2021-06-28,74.2854,backfill:yahoo INR=X,backfill
2021-06-29,74.2876,backfill:yahoo INR=X,backfill
2021-06-30,74.371,backfill:yahoo INR=X,backfill
2021-07-01,74.545,backfill:yahoo INR=X,backfill
2021-07-04,74.4818,backfill:yahoo INR=X,backfill
2021-07-05,74.3178,backfill:yahoo INR=X,backfill
2021-07-06,74.7629,backfill:yahoo INR=X,backfill
2021-07-07,74.8219,backfill:yahoo INR=X,backfill
2021-07-08,74.7214,backfill:yahoo INR=X,backfill
2021-07-11,74.4905,backfill:yahoo INR=X,backfill
2021-07-12,74.5417,backfill:yahoo INR=X,backfill
2021-07-13,74.6591,backfill:yahoo INR=X,backfill
2021-07-14,74.4691,backfill:yahoo INR=X,backfill
2021-07-15,74.537,backfill:yahoo INR=X,backfill
2021-07-18,74.6318,backfill:yahoo INR=X,backfill
2021-07-19,74.9934,backfill:yahoo INR=X,backfill
2021-07-20,74.527,backfill:yahoo INR=X,backfill
2021-07-21,74.4402,backfill:yahoo INR=X,backfill
2021-07-22,74.452,backfill:yahoo INR=X,backfill
2021-07-25,74.4489,backfill:yahoo INR=X,backfill
2021-07-26,74.2895,backfill:yahoo INR=X,backfill
2021-07-27,74.5023,backfill:yahoo INR=X,backfill
2021-07-28,74.39,backfill:yahoo INR=X,backfill
2021-07-29,74.252,backfill:yahoo INR=X,backfill
