date,value
2021-05-31,2838.7829
2021-06-30,2821.3194
2021-07-30,2840.6573
2021-08-29,2828.5761
2021-09-28,2828.3597
2021-10-28,2816.1401
2021-11-27,2800.111
2021-12-27,2796.3892
2022-01-26,2808.1763
2022-02-25,2794.8082
2022-03-27,2805.616
2022-04-26,2807.3608
2022-05-26,2800.7044
2022-06-25,2818.6303
2022-07-25,2831.4544
2022-08-24,2839.509
2022-09-23,2828.5393
2022-10-23,2824.6225
2022-11-22,2830.5934
2022-12-22,2820.9287
2023-01-21,2815.9178
2023-02-20,2814.2447
2023-03-22,2830.8732
2023-04-21,2811.3426
2023-05-21,2822.3088
2023-06-20,2820.4255
2023-07-20,2819.1902
2023-08-19,2810.2014
2023-09-18,2829.0702
2023-10-18,2818.4608
2023-11-17,2817.1822
2023-12-17,2832.9915
2024-01-16,2843.718
2024-02-15,2856.7338
2024-03-16,2874.2829
2024-04-15,2879.929
2024-05-15,2859.1271
2024-06-14,2871.612
2024-07-14,2873.0777
2024-08-13,2881.5101
2024-09-12,2890.9333
2024-10-12,2902.9763
2024-11-11,2889.237
2024-12-11,2876.2343
2025-01-10,2857.4084
2025-02-09,2841.5313
2025-03-11,2826.3414
2025-04-10,2817.4325
2025-05-10,2831.7002
2025-06-09,2845.5032
2025-07-09,2852.7684
2025-08-08,2848.1446
2025-09-07,2849.7189
2025-10-07,2844.4293
2025-11-06,2832.0259
2025-12-06,2843.2712
2026-01-05,2825.1162
2026-02-04,2826.1975
2026-03-06,2820.1209
2026-04-05,2835.6779
2026-05-05,2840
2026-05-06,2858
2026-05-11,2858
2026-05-12,2858
2026-05-13,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-05-14,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-05-15,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-05-29,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-05-30,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-06-01,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-06-02,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-06-03,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-06-04,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-06-05,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
2026-06-10,2858,https://www.naukri.com/blog/naukri-jobspeak-report,tiered:tiered_v1
