date,value,source,parser
2026-05-11,31115,google-news-rss,tiered:tiered_v1
2026-06-10,30000,google-news-rss,tiered:tiered_v1
2026-07-10,31781,google-news-llm,tiered:tiered_v1
2026-07-12,30953.83,google-news-llm,tiered:tiered_v1
2026-07-10,31781,google-news-rss,tiered:tiered_v1
2026-07-20,29845,google-news-llm,tiered:tiered_v1
2026-07-10,31781,google-news-llm,tiered:tiered_v1
2026-07-20,29845,google-news-llm,tiered:tiered_v1
2026-08-06,29845,google-news-llm,tiered:tiered_v1
2026-08-11,31961,google-news-llm,tiered:tiered_v1
2026-08-10,31781,google-news-llm,tiered:tiered_v1
