date,value,source,parser
2021-06-11,15799.3496,backfill:yahoo ^NSEI,backfill
2021-06-14,15811.8496,backfill:yahoo ^NSEI,backfill
2021-06-15,15869.25,backfill:yahoo ^NSEI,backfill
2021-06-16,15767.5498,backfill:yahoo ^NSEI,backfill
2021-06-17,15691.4004,backfill:yahoo ^NSEI,backfill
2021-06-18,15683.3496,backfill:yahoo ^NSEI,backfill
2021-06-21,15746.5,backfill:yahoo ^NSEI,backfill
2021-06-22,15772.75,backfill:yahoo ^NSEI,backfill
2021-06-23,15686.9502,backfill:yahoo ^NSEI,backfill
2021-06-24,15790.4502,backfill:yahoo ^NSEI,backfill
2021-06-25,15860.3496,backfill:yahoo ^NSEI,backfill
2021-06-28,15814.7002,backfill:yahoo ^NSEI,backfill
2021-06-29,15748.4502,backfill:yahoo ^NSEI,backfill
2021-06-30,15721.5,backfill:yahoo ^NSEI,backfill
2021-07-01,15680,backfill:yahoo ^NSEI,backfill
2021-07-02,15722.2002,backfill:yahoo ^NSEI,backfill
2021-07-05,15834.3496,backfill:yahoo ^NSEI,backfill
2021-07-06,15818.25,backfill:yahoo ^NSEI,backfill
2021-07-07,15879.6504,backfill:yahoo ^NSEI,backfill
2021-07-08,15727.9004,backfill:yahoo ^NSEI,backfill
2021-07-09,15689.7998,backfill:yahoo ^NSEI,backfill
2021-07-12,15692.5996,backfill:yahoo ^NSEI,backfill
2021-07-13,15812.3496,backfill:yahoo ^NSEI,backfill
2021-07-14,15853.9502,backfill:yahoo ^NSEI,backfill
2021-07-15,15924.2002,backfill:yahoo ^NSEI,backfill
2021-07-16,15923.4004,backfill:yahoo ^NSEI,backfill
2021-07-19,15752.4004,backfill:yahoo ^NSEI,backfill
2021-07-20,15632.0996,backfill:yahoo ^NSEI,backfill
2021-07-22,15824.0498,backfill:yahoo ^NSEI,backfill
2021-07-23,15856.0498,backfill:yahoo ^NSEI,backfill
2021-07-26,15824.4502,backfill:yahoo ^NSEI,backfill
2021-07-27,15746.4502,backfill:yahoo ^NSEI,backfill
2021-07-28,15709.4004,backfill:yahoo ^NSEI,backfill
2021-07-29,15778.4502,backfill:yahoo ^NSEI,backfill
2021-07-30,15763.0498,backfill:yahoo ^NSEI,backfill
2021-08-02,15885.1504,backfill:yahoo ^NSEI,backfill
2021-08-03,16130.75,backfill:yahoo ^NSEI,backfill
2021-08-04,16258.7998,backfill:yahoo ^NSEI,backfill
2021-08-05,16294.5996,backfill:yahoo ^NSEI,backfill
2021-08-06,16238.2002,backfill:yahoo ^NSEI,backfill
2021-08-09,16258.25,backfill:yahoo ^NSEI,backfill
2021-08-10,16280.0996,backfill:yahoo ^NSEI,backfill
2021-08-11,16282.25,backfill:yahoo ^NSEI,backfill
2021-08-12,16364.4004,backfill:yahoo ^NSEI,backfill
2021-08-13,16529.0996,backfill:yahoo ^NSEI,backfill
2021-08-16,16563.0508,backfill:yahoo ^NSEI,backfill
2021-08-17,16614.5996,backfill:yahoo ^NSEI,backfill
2021-08-18,16568.8496,backfill:yahoo ^NSEI,backfill
2021-08-20,16450.5,backfill:yahoo ^NSEI,backfill
2021-08-23,16496.4492,backfill:yahoo ^NSEI,backfill
2021-08-24,16624.5996,backfill:yahoo ^NSEI,backfill
2021-08-25,16634.6504,backfill:yahoo ^NSEI,backfill
2021-08-26,16636.9004,backfill:yahoo ^NSEI,backfill
2021-08-27,16705.1992,backfill:yahoo ^NSEI,backfill
2021-08-30,16931.0508,backfill:yahoo ^NSEI,backfill
2021-08-31,17132.1992,backfill:yahoo ^NSEI,backfill
2021-09-01,17076.25,backfill:yahoo ^NSEI,backfill
2021-09-02,17234.1504,backfill:yahoo ^NSEI,backfill
2021-09-03,17323.5996,backfill:yahoo ^NSEI,backfill
2021-09-06,17377.8008,backfill:yahoo ^NSEI,backfill
