date,value,source,parser
2026-06-24,0.7937,web-llm,tiered:tiered_v1
2026-06-25,0.7937,web-llm,tiered:tiered_v1
2026-06-26,0.7937,web-llm,tiered:tiered_v1
2026-06-27,0.7937,web-llm,tiered:tiered_v1
2026-06-28,0.7937,web-llm,tiered:tiered_v1
2026-06-29,1.5444,web-llm,tiered:tiered_v1
2026-06-30,0.7937,web-llm,tiered:tiered_v1
2026-07-01,0.79,web-llm,tiered:tiered_v1
2026-07-02,0.79,web-llm,tiered:tiered_v1
2026-07-03,0.79,web-llm,tiered:tiered_v1
2026-07-06,0.79,web-llm,tiered:tiered_v1
2026-07-07,0.79,web-llm,tiered:tiered_v1
2026-07-08,0.79,web-llm,tiered:tiered_v1
2026-07-09,0.79,web-llm,tiered:tiered_v1
2026-07-10,0.79,web-llm,tiered:tiered_v1
2026-07-13,0.79,web-llm,tiered:tiered_v1
2026-07-14,0.79,web-llm,tiered:tiered_v1
2026-07-15,0.79,web-llm,tiered:tiered_v1
2026-07-16,0.79,web-llm,tiered:tiered_v1
2026-07-17,0.79,web-llm,tiered:tiered_v1
2026-07-20,0.79,web-llm,tiered:tiered_v1
2026-07-21,0.79,web-llm,tiered:tiered_v1
2026-07-22,0.79,web-llm,tiered:tiered_v1
2026-07-23,0.79,web-llm,tiered:tiered_v1
2026-07-24,0.79,web-llm,tiered:tiered_v1
2026-07-27,0.79,web-llm,tiered:tiered_v1
