date,value,source,parser
2026-05-13,19.3,ppac-pdf,pdf:ppac_v1
2026-05-14,19.3,ppac-pdf,pdf:ppac_v1
2026-05-15,19.3,ppac-pdf,pdf:ppac_v1
2026-05-29,19.3,ppac-pdf,pdf:ppac_v1
2026-05-30,19.3,ppac-pdf,pdf:ppac_v1
2026-06-01,19.3,ppac-pdf,pdf:ppac_v1
2026-06-02,19.3,ppac-pdf,pdf:ppac_v1
2026-06-03,19.3,ppac-pdf,pdf:ppac_v1
2026-06-04,19.3,ppac-pdf,pdf:ppac_v1
2026-06-05,19.3,ppac-pdf,pdf:ppac_v1
2026-06-10,19.47,ppac-pdf,pdf:ppac_v1
2026-06-11,19.47,ppac-pdf,pdf:ppac_v1
2026-06-12,19.47,ppac-pdf,pdf:ppac_v1
2026-06-13,19.47,ppac-pdf,pdf:ppac_v1
2026-06-14,19.47,ppac-pdf,pdf:ppac_v1
