date,value,source,parser
2026-05-11,60,publisher-rss,tiered:tiered_v1
2026-05-07,62.11,google-news-llm,tiered:tiered_v1
2026-05-29,60,publisher-rss,tiered:tiered_v1
2026-05-31,60,publisher-rss,tiered:tiered_v1
2026-06-02,75.15,publisher-rss,tiered:tiered_v1
2026-06-03,60,publisher-rss,tiered:tiered_v1
2026-06-04,60,publisher-rss,tiered:tiered_v1
2026-06-13,60,publisher-rss,tiered:tiered_v1
2026-06-16,60,publisher-rss,tiered:tiered_v1
2026-06-17,60,publisher-rss,tiered:tiered_v1
2026-06-23,60,publisher-rss,tiered:tiered_v1
2026-06-27,60,publisher-rss,tiered:tiered_v1
2026-06-30,82,publisher-rss,tiered:tiered_v1
