date,value,source,parser
2026-04-24,240,google-news-rss,rss:google_news_rss_v1
2026-04-30,256,google-news-rss,rss:google_news_rss_v1
2026-04-24,240,google-news-rss,rss:google_news_rss_v1
2026-04-30,256,google-news-rss,rss:google_news_rss_v1
2026-05-17,256.4,google-news-rss,rss:google_news_rss_v1
2026-05-19,256.4,google-news-rss,rss:google_news_rss_v1
2026-05-20,260.5,google-news-rss,rss:google_news_rss_v1
2026-05-19,257,google-news-rss,rss:google_news_rss_v1
2026-05-21,271,google-news-rss,rss:google_news_rss_v1
2026-05-19,257,google-news-rss,rss:google_news_rss_v1
2026-06-03,242,google-news-rss,rss:google_news_rss_v1
2026-05-21,270,google-news-rss,rss:google_news_rss_v1
2026-05-22,271,google-news-rss,rss:google_news_rss_v1
2026-05-19,257,google-news-rss,rss:google_news_rss_v1
2026-06-09,270,google-news-rss,tiered:tiered_v1
2026-06-16,237,google-news-rss,tiered:tiered_v1
2026-06-19,271,google-news-rss,tiered:tiered_v1
2026-06-23,270.8,google-news-rss,tiered:tiered_v1
