date,value,source,parser
2026-05-14,137.72,google-news-llm,tiered:tiered_v1
2026-05-27,137.72,google-news-llm,tiered:tiered_v1
2026-03-06,137.72,google-news-rss,tiered:tiered_v1
2026-06-01,145,google-news-rss,tiered:tiered_v1
2026-06-02,145,google-news-rss,tiered:tiered_v1
2026-06-03,145,google-news-rss,tiered:tiered_v1
2026-06-02,145,google-news-rss,tiered:tiered_v1
2026-06-01,145,google-news-rss,tiered:tiered_v1
2026-06-02,145,google-news-rss,tiered:tiered_v1
2026-06-11,145,google-news-rss,tiered:tiered_v1
2026-06-14,145,google-news-rss,tiered:tiered_v1
2026-06-02,145,google-news-rss,tiered:tiered_v1
2026-06-14,145,google-news-rss,tiered:tiered_v1
2026-06-04,145,google-news-rss,tiered:tiered_v1
2026-07-02,142.21,google-news-rss,tiered:tiered_v1
2026-08-03,141,google-news-rss,tiered:tiered_v1
2026-08-04,141,google-news-rss,tiered:tiered_v1
2026-08-05,141,google-news-rss,tiered:tiered_v1
2026-08-08,141.3,google-news-rss,tiered:tiered_v1
2026-08-11,141.3,google-news-rss,tiered:tiered_v1
2026-08-05,141,google-news-rss,tiered:tiered_v1
2026-08-08,141.3,google-news-rss,tiered:tiered_v1
2026-08-05,141.3,google-news-rss,tiered:tiered_v1
