date,value
2021-05-06,3.7098
2021-05-07,3.7003
2021-05-08,3.6846
2021-05-09,3.7047
2021-05-10,3.6858
2021-05-11,3.665
2021-05-12,3.6843
2021-05-13,3.6903
2021-05-14,3.675
2021-05-15,3.6832
2021-05-16,3.6985
2021-05-17,3.681
2021-05-18,3.6801
2021-05-19,3.6939
2021-05-20,3.7027
2021-05-21,3.73
2021-05-22,3.7182
2021-05-23,3.7313
2021-05-24,3.7122
2021-05-25,3.7237
2021-05-26,3.7179
2021-05-27,3.7117
2021-05-28,3.7395
2021-05-29,3.7338
2021-05-30,3.7285
2021-05-31,3.7183
2021-06-01,3.7001
2021-06-02,3.6938
2021-06-03,3.6841
2021-06-04,3.6754
2021-06-05,3.6605
2021-06-06,3.671
2021-06-07,3.6531
2021-06-08,3.6685
2021-06-09,3.6522
2021-06-10,3.6587
2021-06-11,3.654
2021-06-12,3.6563
2021-06-13,3.6615
2021-06-14,3.6637
2021-06-15,3.6725
2021-06-16,3.6762
2021-06-17,3.6797
2021-06-18,3.6708
2021-06-19,3.6865
2021-06-20,3.6627
2021-06-21,3.6535
2021-06-22,3.6489
2021-06-23,3.6242
2021-06-24,3.6308
2021-06-25,3.6564
2021-06-26,3.6437
2021-06-27,3.6361
2021-06-28,3.6606
2021-06-29,3.6741
2021-06-30,3.6635
2021-07-01,3.6703
2021-07-02,3.6719
2021-07-03,3.6493
2021-07-04,3.6381
2021-07-05,3.6204
2021-07-06,3.6382
2021-07-07,3.6196
2021-07-08,3.6301
2021-07-09,3.6308
2021-07-10,3.6447
2021-07-11,3.6245
2021-07-12,3.6439
2021-07-13,3.6492
2021-07-14,3.6526
2021-07-15,3.6653
2021-07-16,3.6643
2021-07-17,3.6541
2021-07-18,3.6802
2021-07-19,3.6643
2021-07-20,3.6735
2021-07-21,3.695
2021-07-22,3.706
2021-07-23,3.7321
2021-07-24,3.7061
2021-07-25,3.6949
2021-07-26,3.71
2021-07-27,3.7278
2021-07-28,3.7528
2021-07-29,3.7405
2021-07-30,3.7496
2021-07-31,3.7613
2021-08-01,3.7539
2021-08-02,3.7278
2021-08-03,3.7542
2021-08-04,3.7327
2021-08-05,3.7616
2021-08-06,3.7748
2021-08-07,3.7632
2021-08-08,3.7928
2021-08-09,3.822
2021-08-10,3.8215
2021-08-11,3.8079
2021-08-12,3.8155
2021-08-13,3.789
2021-08-14,3.7651
2021-08-15,3.7833
2021-08-16,3.8057
2021-08-17,3.8108
2021-08-18,3.8292
2021-08-19,3.811
2021-08-20,3.8303
