date,value,source,parser
2026-05-01,38.72,google-news-llm,tiered:tiered_v1
2026-05-18,34.45,google-news-llm,tiered:tiered_v1
2026-06-12,28,google-news-llm,tiered:tiered_v1
2026-06-13,28,google-news-llm,tiered:tiered_v1
2026-06-12,28,google-news-llm,tiered:tiered_v1
2026-06-20,28,google-news-llm,tiered:tiered_v1
2026-06-15,28.28,google-news-llm,tiered:tiered_v1
2026-07-03,26,google-news-llm,tiered:tiered_v1
2026-07-04,26,google-news-llm,tiered:tiered_v1
2026-07-03,26,google-news-llm,tiered:tiered_v1
