date,value
2021-05-31,24.205
2021-06-30,24.0808
2021-07-30,23.9835
2021-08-29,24.0358
2021-09-28,24.2093
2021-10-28,24.1398
2021-11-27,24.2393
2021-12-27,24.335
2022-01-26,24.1664
2022-02-25,24.1085
2022-03-27,24.2333
2022-04-26,24.2944
2022-05-26,24.3213
2022-06-25,24.1777
2022-07-25,24.0049
2022-08-24,23.9374
2022-09-23,23.937
2022-10-23,23.8269
2022-11-22,23.8617
2022-12-22,23.9538
2023-01-21,23.8886
2023-02-20,23.8709
2023-03-22,24.018
2023-04-21,24.1397
2023-05-21,24.0666
2023-06-20,24.0986
2023-07-20,23.9925
2023-08-19,24.0812
2023-09-18,23.9893
2023-10-18,23.8838
2023-11-17,23.9316
2023-12-17,23.9459
2024-01-16,24.0351
2024-02-15,23.9432
2024-03-16,23.9716
2024-04-15,23.9078
2024-05-15,24.0039
2024-06-14,24.1118
2024-07-14,24.0823
2024-08-13,24.0354
2024-09-12,24.1386
2024-10-12,24.3076
2024-11-11,24.3909
2024-12-11,24.2361
2025-01-10,24.3574
2025-02-09,24.188
2025-03-11,24.1978
2025-04-10,24.2289
2025-05-10,24.2852
2025-06-09,24.4476
2025-07-09,24.4921
2025-08-08,24.6165
2025-09-07,24.763
2025-10-07,24.9131
2025-11-06,24.874
2025-12-06,24.9214
2026-01-05,24.8742
2026-02-04,25.0019
2026-03-06,25.0135
2026-04-05,24.8713
2026-05-05,24.85
