date,value
2021-05-06,1792.6498
2021-05-07,1791.9601
2021-05-08,1778.6136
2021-05-09,1775.9609
2021-05-10,1763.1226
2021-05-11,1763.2727
2021-05-12,1775.1972
2021-05-13,1764.0167
2021-05-14,1754.4545
2021-05-15,1762.0367
2021-05-16,1749.3055
2021-05-17,1755.0515
2021-05-18,1744.332
2021-05-19,1736.6549
2021-05-20,1723.5063
2021-05-21,1729.8042
2021-05-22,1716.5533
2021-05-23,1727.0077
2021-05-24,1717.8667
2021-05-25,1725.3455
2021-05-26,1729.4634
2021-05-27,1731.4623
2021-05-28,1735.0136
2021-05-29,1744.3106
2021-05-30,1731.8054
2021-05-31,1742.3293
2021-06-01,1737.3142
2021-06-02,1748.1191
2021-06-03,1759.6821
2021-06-04,1759.1821
2021-06-05,1771.2449
2021-06-06,1765.023
2021-06-07,1776.3398
2021-06-08,1773.6922
2021-06-09,1774.2782
2021-06-10,1763.3203
2021-06-11,1750.0318
2021-06-12,1761.0603
2021-06-13,1769.8175
2021-06-14,1781.1425
2021-06-15,1792.8819
2021-06-16,1804.9489
2021-06-17,1814.6023
2021-06-18,1804.6211
2021-06-19,1800.9146
2021-06-20,1806.3069
2021-06-21,1811.8979
2021-06-22,1804.7282
2021-06-23,1797.7253
2021-06-24,1803.9714
2021-06-25,1815.7284
2021-06-26,1826.8429
2021-06-27,1833.2477
2021-06-28,1827.7447
2021-06-29,1831.9503
2021-06-30,1832.3317
2021-07-01,1833.2726
2021-07-02,1834.1651
2021-07-03,1832.815
2021-07-04,1835.4165
2021-07-05,1848.2706
2021-07-06,1848.1271
2021-07-07,1856.7219
2021-07-08,1863.0056
2021-07-09,1851.8241
2021-07-10,1861.9633
2021-07-11,1856.4056
2021-07-12,1867.9204
2021-07-13,1881.4083
2021-07-14,1869.7774
2021-07-15,1868.9007
2021-07-16,1870.9932
2021-07-17,1867.8508
2021-07-18,1860.9748
2021-07-19,1848.8409
2021-07-20,1840.3452
2021-07-21,1836.13
2021-07-22,1841.4066
2021-07-23,1843.721
2021-07-24,1832.1785
2021-07-25,1839.53
2021-07-26,1844.2598
2021-07-27,1845.9167
2021-07-28,1832.9746
2021-07-29,1844.2227
2021-07-30,1853.4095
2021-07-31,1862.1785
2021-08-01,1852.8805
2021-08-02,1846.2261
2021-08-03,1846.7916
2021-08-04,1847.5152
2021-08-05,1842.2291
2021-08-06,1844.3862
2021-08-07,1850.7683
2021-08-08,1850.3828
2021-08-09,1851.2229
2021-08-10,1850.0985
2021-08-11,1841.9039
2021-08-12,1829.614
2021-08-13,1824.4835
2021-08-14,1819.3501
2021-08-15,1808.4241
2021-08-16,1813.7689
2021-08-17,1805.7353
2021-08-18,1801.006
2021-08-19,1806.0464
2021-08-20,1812.7114
2021-08-21,1825.1127
2021-08-22,1833.141
2021-08-23,1835.3359
2021-08-24,1835.1567
2021-08-25,1841.6839
2021-08-26,1854.6322
2021-08-27,1855.8028
2021-08-28,1868.4219
2021-08-29,1882.1544
2021-08-30,1892.1069
2021-08-31,1903.3712
2021-09-01,1915.7902
2021-09-02,1925.7402
2021-09-03,1927.215
2021-09-04,1921.6682
2021-09-05,1916.1241
2021-09-06,1904.6909
2021-09-07,1896.7457
2021-09-08,1890.5566
2021-09-09,1895.6022
2021-09-10,1898.5771
2021-09-11,1910.5264
2021-09-12,1914.6459
2021-09-13,1903.3781
2021-09-14,1893.4773
2021-09-15,1900.9774
2021-09-16,1903.0137
2021-09-17,1910.0599
2021-09-18,1900.0489
2021-09-19,1898.9543
2021-09-20,1888.347
2021-09-21,1895.777
2021-09-22,1898.4268
