date,value,source,parser
2026-05-15,-29,rbi-mmo-daily,tiered:tiered_v1
2026-05-17,-29,rbi-mmo-daily,tiered:tiered_v1
2026-05-18,-5,rbi-mmo-daily,tiered:tiered_v1
2026-04-12,-5,google-news-llm,tiered:tiered_v1
2026-05-19,-32,rbi-mmo-daily,tiered:tiered_v1
2026-05-20,-29,rbi-mmo-daily,tiered:tiered_v1
2026-05-21,-27,rbi-mmo-daily,tiered:tiered_v1
2026-05-22,-23,rbi-mmo-daily,tiered:tiered_v1
2026-04-12,-5,google-news-llm,tiered:tiered_v1
2026-05-29,-14,rbi-mmo-daily,tiered:tiered_v1
2026-05-26,-10,google-news-llm,tiered:tiered_v1
2026-04-12,-5,google-news-llm,tiered:tiered_v1
2026-06-02,-20,rbi-mmo-daily,tiered:tiered_v1
2026-04-12,-5,google-news-llm,tiered:tiered_v1
2026-06-04,-23,rbi-mmo-daily,tiered:tiered_v1
2026-06-05,-23,rbi-mmo-daily,tiered:tiered_v1
2026-06-09,-20,rbi-mmo-daily,tiered:tiered_v1
2026-06-11,-22,rbi-mmo-daily,tiered:tiered_v1
2026-06-12,-23,rbi-mmo-daily,tiered:tiered_v1
2026-06-13,-23,rbi-mmo-daily,tiered:tiered_v1
