date,value
2021-05-31,2.8309
2021-06-30,2.8112
2021-07-30,2.7915
2021-08-29,2.809
2021-09-28,2.8176
2021-10-28,2.8174
2021-11-27,2.8362
2021-12-27,2.8564
2022-01-26,2.871
2022-02-25,2.8583
2022-03-27,2.848
2022-04-26,2.8397
2022-05-26,2.852
2022-06-25,2.8674
2022-07-25,2.872
2022-08-24,2.8705
2022-09-23,2.8804
2022-10-23,2.8825
2022-11-22,2.8974
2022-12-22,2.8975
2023-01-21,2.9173
2023-02-20,2.8988
2023-03-22,2.8806
2023-04-21,2.8873
2023-05-21,2.907
2023-06-20,2.8985
2023-07-20,2.8878
2023-08-19,2.9065
2023-09-18,2.9187
2023-10-18,2.9072
2023-11-17,2.9095
2023-12-17,2.9228
2024-01-16,2.9454
2024-02-15,2.9423
2024-03-16,2.9603
2024-04-15,2.9798
2024-05-15,2.973
2024-06-14,2.9558
2024-07-14,2.9399
2024-08-13,2.9207
2024-09-12,2.9177
2024-10-12,2.9038
2024-11-11,2.8989
2024-12-11,2.8806
2025-01-10,2.8796
2025-02-09,2.8903
2025-03-11,2.885
2025-04-10,2.8883
2025-05-10,2.8802
2025-06-09,2.8675
2025-07-09,2.8729
2025-08-08,2.8626
2025-09-07,2.8472
2025-10-07,2.8475
2025-11-06,2.849
2025-12-06,2.8508
2026-01-05,2.8609
2026-02-04,2.8521
2026-03-06,2.8636
2026-04-05,2.8457
2026-05-05,2.84
