date,value
2021-05-31,99.4993
2021-06-30,99.3854
2021-07-30,98.9006
2021-08-29,98.3141
2021-09-28,97.9111
2021-10-28,97.7036
2021-11-27,98.3805
2021-12-27,98.8868
2022-01-26,99.2032
2022-02-25,99.8293
2022-03-27,100.4373
2022-04-26,101.16
2022-05-26,101.7671
2022-06-25,101.9326
2022-07-25,101.4573
2022-08-24,101.3241
2022-09-23,101.9587
2022-10-23,102.5085
2022-11-22,102.9981
2022-12-22,103.3373
2023-01-21,103.0347
2023-02-20,102.9724
2023-03-22,102.9667
2023-04-21,102.3099
2023-05-21,101.9486
2023-06-20,101.3697
2023-07-20,101.2067
2023-08-19,101.019
2023-09-18,100.8863
2023-10-18,101.2814
2023-11-17,100.5373
2023-12-17,101.1941
2024-01-16,100.7427
2024-02-15,100.5578
2024-03-16,100.189
2024-04-15,100.5539
2024-05-15,100.8353
2024-06-14,100.9048
2024-07-14,101.107
2024-08-13,101.1793
2024-09-12,100.9421
2024-10-12,100.9728
2024-11-11,100.4235
2024-12-11,100.1716
2025-01-10,100.496
2025-02-09,99.9558
2025-03-11,99.3208
2025-04-10,99.4914
2025-05-10,99.0399
2025-06-09,99.5914
2025-07-09,100.2629
2025-08-08,99.9955
2025-09-07,99.9466
2025-10-07,100.5152
2025-11-06,100.4582
2025-12-06,100.1776
2026-01-05,99.7909
2026-02-04,99.1491
2026-03-06,99.5583
2026-04-05,99.6768
2026-05-05,100
2026-05-06,Sell: IT · Buy: IT
